index,x_est,x_ref
1,0.000,0.000
2,0.002,0.000
3,0.006,0.000
4,0.008,0.001
5,0.010,0.003
6,0.014,0.006
7,0.017,0.011
8,0.019,0.016
9,0.024,0.023
10,0.032,0.031
11,0.041,0.041
12,0.048,0.051
13,0.058,0.063
14,0.071,0.076
15,0.083,0.091
16,0.096,0.106
17,0.112,0.123
18,0.130,0.141
19,0.148,0.161
20,0.166,0.181
21,0.188,0.202
22,0.210,0.223
23,0.231,0.244
24,0.253,0.266
25,0.275,0.287
26,0.297,0.308
27,0.317,0.329
28,0.338,0.351
29,0.360,0.372
30,0.382,0.393
31,0.403,0.414
32,0.424,0.436
33,0.446,0.457
34,0.468,0.478
35,0.489,0.499
36,0.510,0.521
37,0.532,0.542
38,0.554,0.563
39,0.575,0.584
40,0.597,0.606
41,0.619,0.627
42,0.641,0.648
43,0.662,0.669
44,0.684,0.689
45,0.706,0.709
46,0.726,0.727
47,0.745,0.743
48,0.763,0.758
49,0.779,0.772
50,0.793,0.783
51,0.805,0.794
52,0.816,0.803
53,0.825,0.810
54,0.833,0.815
55,0.839,0.819
56,0.844,0.822
57,0.847,0.823
58,0.849,0.822
59,0.849,0.820
60,0.848,0.817
61,0.845,0.812
62,0.841,0.807
63,0.840,0.841
64,0.841,0.841
65,0.846,0.840
66,0.853,0.839
67,0.857,0.837
68,0.858,0.834
69,0.859,0.830
70,0.855,0.824
71,0.845,0.817
72,0.836,0.809
73,0.829,0.800
74,0.819,0.789
75,0.806,0.777
76,0.793,0.764
77,0.781,0.750
78,0.765,0.734
79,0.747,0.717
80,0.730,0.699
81,0.713,0.680
82,0.693,0.660
83,0.670,0.639
84,0.650,0.617
85,0.628,0.596
86,0.603,0.575
87,0.579,0.554
88,0.557,0.532
89,0.534,0.511
90,0.510,0.490
91,0.488,0.469
92,0.467,0.447
93,0.444,0.426
94,0.420,0.405
95,0.398,0.384
96,0.376,0.362
97,0.352,0.341
98,0.329,0.320
99,0.307,0.299
100,0.285,0.279
101,0.262,0.260
102,0.240,0.241
103,0.219,0.225
104,0.199,0.209
105,0.181,0.195
106,0.164,0.181
107,0.149,0.170
108,0.135,0.159
109,0.122,0.150
110,0.111,0.141
111,0.101,0.135
112,0.093,0.129
113,0.085,0.125
114,0.079,0.121
115,0.074,0.119
116,0.071,0.117
117,0.069,0.116
118,0.068,0.115
119,0.068,0.068
120,0.067,0.068
121,0.066,0.068
122,0.063,0.069
123,0.058,0.071
124,0.056,0.074
125,0.056,0.079
126,0.056,0.084
127,0.060,0.091
128,0.067,0.099
129,0.074,0.109
130,0.081,0.119
131,0.091,0.131
132,0.103,0.144
133,0.115,0.159
134,0.128,0.174
135,0.143,0.191
136,0.160,0.209
137,0.178,0.229
138,0.197,0.249
139,0.217,0.270
140,0.239,0.291
141,0.262,0.312
142,0.285,0.334
143,0.309,0.355
144,0.332,0.376
145,0.355,0.397
146,0.379,0.419
147,0.402,0.440
148,0.425,0.461
149,0.448,0.482
150,0.472,0.504
151,0.495,0.525
152,0.519,0.546
153,0.542,0.567
154,0.566,0.589
155,0.589,0.610
156,0.613,0.631
157,0.636,0.652
158,0.659,0.674
159,0.683,0.695
160,0.706,0.716
161,0.729,0.737
162,0.752,0.759
163,0.775,0.780
164,0.798,0.801
165,0.821,0.822
166,0.843,0.844
167,0.866,0.865
168,0.889,0.886
169,0.911,0.907
170,0.934,0.929
171,0.956,0.950
172,0.978,0.971
173,1.000,0.992
174,1.023,1.014
175,1.045,1.035
176,1.067,1.056
177,1.089,1.077
178,1.111,1.099
179,1.133,1.120
180,1.155,1.141
181,1.177,1.162
182,1.199,1.184
183,1.221,1.205
184,1.243,1.226
185,1.264,1.247
186,1.286,1.269
187,1.308,1.290
188,1.329,1.311
189,1.351,1.332
190,1.372,1.354
191,1.394,1.375
192,1.415,1.396
193,1.437,1.417
194,1.458,1.439
195,1.479,1.460
196,1.501,1.481
197,1.522,1.502
198,1.543,1.523
199,1.564,1.543
200,1.585,1.563
201,1.605,1.581
202,1.623,1.597
203,1.640,1.612
204,1.656,1.626
205,1.669,1.638
206,1.681,1.648
207,1.691,1.657
208,1.699,1.664
209,1.706,1.670
210,1.712,1.674
211,1.715,1.676
212,1.718,1.677
213,1.719,1.677
214,1.718,1.674
215,1.716,1.671
216,1.712,1.667
217,1.708,1.662
218,1.702,1.656
