index,x_est,x_ref
1,0.000,0.000
2,0.002,0.000
3,0.006,0.000
4,0.008,0.001
5,0.009,0.003
6,0.013,0.006
7,0.016,0.011
8,0.017,0.016
9,0.022,0.023
10,0.030,0.031
11,0.038,0.041
12,0.046,0.051
13,0.056,0.063
14,0.069,0.076
15,0.081,0.091
16,0.095,0.106
17,0.111,0.123
18,0.128,0.141
19,0.146,0.161
20,0.164,0.181
21,0.185,0.202
22,0.207,0.223
23,0.228,0.244
24,0.250,0.266
25,0.272,0.287
26,0.294,0.308
27,0.315,0.329
28,0.336,0.351
29,0.358,0.372
30,0.380,0.393
31,0.401,0.414
32,0.423,0.436
33,0.445,0.457
34,0.467,0.478
35,0.488,0.499
36,0.510,0.521
37,0.532,0.542
38,0.554,0.563
39,0.576,0.584
40,0.598,0.606
41,0.620,0.627
42,0.642,0.648
43,0.663,0.669
44,0.685,0.689
45,0.707,0.709
46,0.727,0.727
47,0.747,0.743
48,0.765,0.758
49,0.781,0.772
50,0.795,0.783
51,0.808,0.794
52,0.819,0.803
53,0.828,0.810
54,0.836,0.815
55,0.842,0.819
56,0.847,0.822
57,0.850,0.823
58,0.852,0.822
59,0.852,0.820
60,0.851,0.817
61,0.848,0.812
62,0.844,0.807
63,0.843,0.844
64,0.843,0.844
65,0.847,0.844
66,0.851,0.843
67,0.852,0.841
68,0.854,0.838
69,0.855,0.833
70,0.850,0.828
71,0.842,0.821
72,0.836,0.813
73,0.829,0.803
74,0.818,0.793
75,0.806,0.781
76,0.795,0.768
77,0.782,0.753
78,0.766,0.738
79,0.749,0.721
80,0.733,0.703
81,0.714,0.683
82,0.694,0.663
83,0.672,0.642
84,0.650,0.621
85,0.628,0.600
86,0.605,0.579
87,0.582,0.557
88,0.560,0.536
89,0.538,0.515
90,0.515,0.494
91,0.493,0.472
92,0.470,0.451
93,0.448,0.430
94,0.425,0.409
95,0.402,0.387
96,0.380,0.366
97,0.357,0.345
98,0.334,0.324
99,0.312,0.303
100,0.289,0.282
101,0.267,0.263
102,0.246,0.245
103,0.226,0.228
104,0.208,0.213
105,0.191,0.200
106,0.176,0.188
107,0.163,0.178
108,0.151,0.169
109,0.141,0.162
110,0.133,0.156
111,0.126,0.152
112,0.121,0.150
113,0.118,0.149
114,0.116,0.149
115,0.115,0.151
116,0.116,0.154
117,0.118,0.157
118,0.121,0.161
119,0.121,0.121
120,0.120,0.121
121,0.115,0.121
122,0.110,0.122
123,0.107,0.124
124,0.105,0.127
125,0.104,0.132
126,0.109,0.137
127,0.117,0.144
128,0.124,0.152
129,0.131,0.162
130,0.141,0.172
131,0.154,0.184
132,0.165,0.197
133,0.178,0.212
134,0.194,0.227
135,0.211,0.244
136,0.227,0.262
137,0.246,0.281
138,0.266,0.302
139,0.288,0.323
140,0.310,0.344
141,0.332,0.365
142,0.356,0.386
143,0.378,0.408
144,0.400,0.429
145,0.422,0.450
146,0.445,0.471
147,0.467,0.493
148,0.489,0.514
149,0.512,0.535
150,0.535,0.556
151,0.557,0.578
152,0.580,0.599
153,0.602,0.620
154,0.625,0.641
155,0.648,0.663
156,0.670,0.684
157,0.693,0.705
158,0.715,0.726
159,0.738,0.748
160,0.760,0.769
161,0.783,0.790
162,0.805,0.811
163,0.828,0.833
164,0.850,0.854
165,0.872,0.875
166,0.895,0.896
167,0.917,0.918
168,0.939,0.939
169,0.961,0.960
170,0.983,0.981
171,1.005,1.003
172,1.027,1.024
173,1.049,1.045
174,1.071,1.066
175,1.093,1.088
176,1.115,1.109
177,1.137,1.130
178,1.159,1.151
179,1.181,1.173
180,1.202,1.194
181,1.224,1.215
182,1.246,1.236
183,1.267,1.258
184,1.289,1.279
185,1.310,1.300
186,1.332,1.321
187,1.354,1.343
188,1.375,1.364
189,1.397,1.385
190,1.419,1.406
191,1.440,1.428
192,1.461,1.449
193,1.483,1.470
194,1.504,1.491
195,1.525,1.513
196,1.547,1.533
197,1.568,1.554
198,1.589,1.573
199,1.609,1.591
200,1.627,1.608
201,1.645,1.623
202,1.660,1.636
203,1.674,1.648
204,1.685,1.658
205,1.696,1.667
206,1.704,1.674
207,1.711,1.680
208,1.717,1.684
209,1.721,1.686
210,1.723,1.687
211,1.725,1.687
212,1.724,1.685
213,1.722,1.681
214,1.719,1.677
215,1.714,1.672
216,1.709,1.667
