index,x_est,x_ref
1,0.000,0.000
2,0.002,0.000
3,0.004,0.000
4,0.006,0.001
5,0.008,0.003
6,0.011,0.006
7,0.013,0.011
8,0.015,0.016
9,0.021,0.023
10,0.027,0.031
11,0.035,0.041
12,0.045,0.051
13,0.055,0.063
14,0.067,0.076
15,0.079,0.091
16,0.093,0.106
17,0.108,0.123
18,0.125,0.141
19,0.142,0.161
20,0.160,0.181
21,0.180,0.202
22,0.200,0.223
23,0.222,0.244
24,0.244,0.266
25,0.267,0.287
26,0.289,0.308
27,0.310,0.329
28,0.332,0.351
29,0.353,0.372
30,0.374,0.393
31,0.396,0.414
32,0.418,0.436
33,0.441,0.457
34,0.463,0.478
35,0.485,0.499
36,0.508,0.521
37,0.529,0.542
38,0.551,0.563
39,0.573,0.584
40,0.595,0.606
41,0.617,0.627
42,0.640,0.648
43,0.662,0.669
44,0.684,0.689
45,0.705,0.709
46,0.727,0.727
47,0.747,0.743
48,0.767,0.758
49,0.785,0.772
50,0.800,0.783
51,0.814,0.794
52,0.826,0.803
53,0.836,0.810
54,0.845,0.815
55,0.852,0.819
56,0.857,0.822
57,0.861,0.823
58,0.864,0.822
59,0.865,0.820
60,0.864,0.817
61,0.862,0.812
62,0.859,0.807
63,0.858,0.859
64,0.859,0.859
65,0.860,0.858
66,0.863,0.857
67,0.866,0.855
68,0.868,0.852
69,0.869,0.848
70,0.869,0.842
71,0.865,0.835
72,0.860,0.827
73,0.853,0.818
74,0.844,0.807
75,0.834,0.795
76,0.823,0.782
77,0.811,0.768
78,0.798,0.752
79,0.782,0.735
80,0.766,0.717
81,0.747,0.698
82,0.728,0.678
83,0.706,0.657
84,0.684,0.636
85,0.661,0.614
86,0.637,0.593
87,0.613,0.572
88,0.590,0.551
89,0.567,0.529
90,0.544,0.508
91,0.521,0.487
92,0.499,0.466
93,0.476,0.444
94,0.453,0.423
95,0.429,0.402
96,0.405,0.381
97,0.381,0.359
98,0.358,0.338
99,0.335,0.317
100,0.312,0.297
101,0.289,0.278
102,0.267,0.260
103,0.245,0.243
104,0.225,0.228
105,0.206,0.215
106,0.190,0.203
107,0.176,0.192
108,0.164,0.184
109,0.154,0.176
110,0.146,0.171
111,0.138,0.167
112,0.133,0.164
113,0.128,0.163
114,0.126,0.164
115,0.126,0.166
116,0.126,0.169
117,0.128,0.174
118,0.131,0.179
119,0.136,0.184
120,0.137,0.136
121,0.136,0.136
122,0.133,0.136
123,0.130,0.137
124,0.127,0.139
125,0.124,0.142
126,0.122,0.147
127,0.125,0.152
128,0.131,0.159
129,0.136,0.167
130,0.143,0.177
131,0.152,0.187
132,0.161,0.199
133,0.172,0.212
134,0.185,0.227
135,0.200,0.242
136,0.215,0.259
137,0.232,0.277
138,0.251,0.296
139,0.270,0.317
140,0.290,0.338
141,0.312,0.359
142,0.334,0.380
143,0.356,0.401
144,0.379,0.423
145,0.402,0.444
146,0.424,0.465
147,0.446,0.486
148,0.468,0.508
149,0.491,0.529
150,0.513,0.550
151,0.536,0.571
152,0.559,0.593
153,0.581,0.614
154,0.604,0.635
155,0.627,0.656
156,0.649,0.678
157,0.672,0.699
158,0.695,0.720
159,0.718,0.741
160,0.741,0.763
161,0.764,0.784
162,0.786,0.805
163,0.809,0.826
164,0.831,0.848
165,0.854,0.869
166,0.877,0.890
167,0.900,0.911
168,0.922,0.933
169,0.945,0.954
170,0.967,0.975
171,0.989,0.996
172,1.011,1.018
173,1.034,1.039
174,1.056,1.060
175,1.078,1.081
176,1.101,1.103
177,1.123,1.124
178,1.145,1.145
179,1.167,1.166
180,1.189,1.188
181,1.211,1.209
182,1.233,1.230
183,1.255,1.251
184,1.277,1.273
185,1.299,1.294
186,1.321,1.315
187,1.343,1.336
188,1.365,1.358
189,1.386,1.379
190,1.408,1.400
191,1.430,1.421
192,1.452,1.443
193,1.473,1.464
194,1.495,1.485
195,1.516,1.506
196,1.538,1.527
197,1.559,1.548
198,1.581,1.569
199,1.602,1.588
200,1.622,1.606
201,1.642,1.623
202,1.659,1.639
203,1.675,1.653
204,1.690,1.666
205,1.703,1.678
206,1.714,1.689
207,1.725,1.698
208,1.734,1.706
209,1.743,1.713
210,1.750,1.719
211,1.756,1.723
212,1.760,1.726
213,1.763,1.728
214,1.765,1.730
215,1.767,1.731
216,1.767,1.733
