index,x_est,x_ref
1,0.000,0.000
2,0.000,0.000
3,0.001,0.000
4,0.002,0.001
5,0.003,0.003
6,0.006,0.006
7,0.009,0.011
8,0.012,0.016
9,0.018,0.023
10,0.025,0.031
11,0.033,0.041
12,0.042,0.051
13,0.052,0.063
14,0.064,0.076
15,0.076,0.091
16,0.090,0.106
17,0.105,0.123
18,0.122,0.141
19,0.140,0.161
20,0.158,0.181
21,0.179,0.202
22,0.200,0.223
23,0.222,0.244
24,0.244,0.266
25,0.266,0.287
26,0.288,0.308
27,0.310,0.329
28,0.331,0.351
29,0.354,0.372
30,0.376,0.393
31,0.398,0.414
32,0.421,0.436
33,0.443,0.457
34,0.466,0.478
35,0.488,0.499
36,0.511,0.521
37,0.533,0.542
38,0.556,0.563
39,0.578,0.584
40,0.601,0.606
41,0.623,0.627
42,0.645,0.648
43,0.668,0.669
44,0.690,0.689
45,0.712,0.709
46,0.733,0.727
47,0.753,0.743
48,0.771,0.758
49,0.787,0.772
50,0.802,0.783
51,0.815,0.794
52,0.826,0.803
53,0.835,0.810
54,0.843,0.815
55,0.850,0.819
56,0.855,0.822
57,0.858,0.823
58,0.860,0.822
59,0.860,0.820
60,0.859,0.817
61,0.856,0.812
62,0.852,0.807
63,0.852,0.852
64,0.853,0.852
65,0.855,0.852
66,0.857,0.851
67,0.858,0.849
68,0.859,0.846
69,0.859,0.842
70,0.854,0.836
71,0.849,0.829
72,0.844,0.821
73,0.836,0.812
74,0.826,0.801
75,0.816,0.789
76,0.805,0.776
77,0.792,0.762
78,0.777,0.746
79,0.762,0.729
80,0.745,0.711
81,0.726,0.692
82,0.705,0.671
83,0.684,0.650
84,0.662,0.629
85,0.639,0.608
86,0.616,0.587
87,0.594,0.565
88,0.571,0.544
89,0.548,0.523
90,0.526,0.502
91,0.503,0.480
92,0.480,0.459
93,0.457,0.438
94,0.434,0.417
95,0.411,0.395
96,0.388,0.374
97,0.364,0.353
98,0.341,0.332
99,0.318,0.311
100,0.295,0.291
101,0.273,0.271
102,0.251,0.253
103,0.230,0.237
104,0.211,0.222
105,0.194,0.208
106,0.179,0.196
107,0.165,0.186
108,0.154,0.177
109,0.144,0.170
110,0.135,0.164
111,0.128,0.160
112,0.123,0.158
113,0.119,0.157
114,0.117,0.158
115,0.116,0.160
116,0.117,0.163
117,0.119,0.167
118,0.122,0.172
119,0.127,0.178
120,0.127,0.127
121,0.126,0.127
122,0.123,0.127
123,0.121,0.128
124,0.120,0.130
125,0.118,0.133
126,0.118,0.138
127,0.122,0.143
128,0.127,0.150
129,0.132,0.158
130,0.140,0.168
131,0.150,0.178
132,0.160,0.190
133,0.171,0.203
134,0.184,0.218
135,0.199,0.233
136,0.215,0.250
137,0.231,0.268
138,0.249,0.288
139,0.268,0.308
140,0.289,0.329
141,0.311,0.350
142,0.333,0.371
143,0.356,0.392
144,0.380,0.414
145,0.402,0.435
146,0.424,0.456
147,0.447,0.477
148,0.471,0.499
149,0.493,0.520
150,0.516,0.541
151,0.539,0.562
152,0.562,0.584
153,0.585,0.605
154,0.608,0.626
155,0.631,0.647
156,0.654,0.669
157,0.677,0.690
158,0.700,0.711
159,0.724,0.732
160,0.747,0.754
161,0.770,0.775
162,0.793,0.796
163,0.816,0.817
164,0.839,0.839
165,0.862,0.860
166,0.885,0.881
167,0.908,0.902
168,0.930,0.924
169,0.953,0.945
170,0.976,0.966
171,0.998,0.987
172,1.020,1.009
173,1.043,1.030
174,1.065,1.051
175,1.087,1.072
176,1.109,1.094
177,1.131,1.115
178,1.153,1.136
179,1.175,1.157
180,1.197,1.179
181,1.219,1.200
182,1.240,1.221
183,1.262,1.242
184,1.284,1.264
185,1.305,1.285
186,1.326,1.306
187,1.348,1.327
188,1.369,1.349
189,1.390,1.370
190,1.412,1.391
191,1.433,1.412
192,1.454,1.434
193,1.475,1.455
194,1.496,1.476
195,1.518,1.497
196,1.539,1.519
197,1.560,1.540
198,1.580,1.560
199,1.601,1.579
200,1.622,1.597
201,1.641,1.614
202,1.660,1.629
203,1.677,1.642
204,1.691,1.654
205,1.705,1.664
206,1.716,1.673
207,1.726,1.680
208,1.733,1.686
209,1.740,1.690
210,1.745,1.693
211,1.748,1.693
212,1.749,1.693
213,1.750,1.691
214,1.748,1.687
215,1.745,1.683
216,1.740,1.678
