x_est y_est heading_est x_ref y_ref heading_ref magdwick gyro mag_x mag_y mag_z
0.876,0.001,0.136,0.875,0.000,0.134,1.185,1.875,884.669,246.297,38.398
0.888,0.001,0.137,0.887,0.000,0.136,1.186,2.058,899.148,246.297,38.398
0.913,0.001,0.139,0.912,0.000,0.139,1.181,2.747,873.811,264.336,45.380
0.926,0.001,0.141,0.925,0.000,0.139,1.181,1.997,886.479,255.317,47.125
0.938,0.001,0.142,0.937,0.000,0.141,1.178,1.997,877.430,264.336,48.871
0.951,0.001,0.144,0.949,0.000,0.142,1.179,1.936,872.001,244.493,40.144
0.974,0.000,0.146,0.969,0.000,0.144,1.180,1.997,881.050,249.905,20.945
0.984,0.000,0.148,0.977,0.000,0.146,1.182,1.936,877.430,239.081,41.889
0.992,0.000,0.149,0.984,0.000,0.148,1.183,1.997,886.479,248.101,36.653
0.999,0.000,0.149,0.989,0.000,0.149,1.183,2.747,886.479,248.101,40.144
1.009,0.001,0.153,0.997,0.000,0.151,1.183,1.997,881.050,249.905,34.908
1.012,0.001,0.155,0.999,0.000,0.153,1.181,1.997,884.669,264.336,41.889
1.015,0.001,0.155,1.000,0.000,0.155,1.179,2.808,881.050,264.336,38.398
1.016,0.001,0.156,1.000,0.000,0.155,1.179,1.997,893.719,255.317,47.125
1.016,0.001,0.158,1.016,0.001,0.158,1.180,2.747,861.142,251.709,50.616
1.017,0.001,0.158,1.016,0.001,0.158,1.179,2.808,899.148,260.729,41.889
1.018,0.001,0.160,1.016,0.001,0.158,1.180,1.936,877.430,249.905,48.871
1.019,0.001,0.162,1.015,0.001,0.160,1.180,2.119,890.099,248.101,29.672
1.019,0.002,0.162,1.010,0.001,0.162,1.180,2.808,884.669,257.121,38.398
1.017,0.002,0.163,1.005,0.001,0.162,1.179,2.058,882.860,258.925,47.125
1.013,0.002,0.165,1.000,0.001,0.163,1.180,1.997,890.099,248.101,47.125
1.008,0.002,0.165,0.993,0.001,0.165,1.180,2.686,875.620,251.709,26.181
0.993,0.002,0.167,0.975,0.001,0.165,1.180,1.936,888.289,249.905,52.361
0.983,0.002,0.169,0.965,0.001,0.167,1.180,2.058,888.289,249.905,52.361
0.973,0.002,0.169,0.953,0.001,0.169,1.179,2.747,877.430,257.121,31.417
0.962,0.002,0.170,0.941,0.001,0.169,1.177,1.997,868.381,258.925,43.635
0.935,0.002,0.174,0.916,0.001,0.172,1.178,2.058,879.240,251.709,40.144
0.922,0.002,0.174,0.904,0.001,0.174,1.179,2.686,888.289,253.513,41.889
0.909,0.002,0.176,0.891,0.001,0.174,1.179,1.875,879.240,251.709,47.125
0.896,0.001,0.177,0.879,0.001,0.176,1.179,2.058,884.669,249.905,45.380
0.870,0.001,0.179,0.854,0.001,0.179,1.182,2.686,877.430,249.905,41.889
0.857,0.000,0.179,0.841,0.001,0.179,1.181,2.686,886.479,255.317,47.125
0.844,-0.000,0.181,0.829,0.001,0.179,1.182,1.936,875.620,244.493,43.635
0.830,0.000,0.182,0.816,0.001,0.181,1.183,1.875,875.620,244.493,43.635
0.804,-0.000,0.182,0.791,0.001,0.182,1.185,2.686,882.860,240.885,43.635
0.791,-0.000,0.184,0.779,0.001,0.182,1.182,1.997,879.240,262.533,47.125
0.778,0.000,0.186,0.766,0.001,0.184,1.184,1.875,868.381,237.277,36.653
0.765,0.000,0.186,0.754,0.001,0.186,1.184,2.869,891.909,249.905,41.889
0.738,0.001,0.188,0.729,0.001,0.186,1.182,2.119,877.430,253.513,34.908
0.726,0.001,0.189,0.716,0.001,0.188,1.182,1.936,895.528,257.121,24.435
