x_est y_est heading_est x_ref y_ref heading_ref magdwick gyro mag_x mag_y mag_z
0.746 -0.005 0.124 0.737 0.000 0.122 1.179 2.058 886.479 251.709 26.181
0.758 -0.005 0.126 0.750 0.000 0.124 1.179 2.119 877.430 253.513 41.889
0.771 -0.005 0.126 0.762 0.000 0.126 1.181 2.869 890.099 240.885 36.653
0.783 -0.005 0.126 0.775 0.000 0.126 1.182 2.808 875.620 240.885 33.162
0.796 -0.005 0.128 0.787 0.000 0.126 1.183 2.058 872.001 240.885 33.162
0.808 -0.005 0.130 0.800 0.000 0.128 1.186 1.997 875.620 230.061 40.144
0.821 -0.005 0.130 0.812 0.000 0.130 1.186 2.869 881.050 242.689 45.380
0.833 -0.005 0.130 0.825 0.000 0.130 1.186 2.808 873.811 242.689 41.889
0.846 -0.005 0.131 0.837 0.000 0.130 1.187 2.058 866.571 239.081 45.380
0.858 -0.005 0.133 0.850 0.000 0.131 1.184 2.119 873.811 257.121 38.398
0.871 -0.005 0.133 0.862 0.000 0.133 1.183 2.747 861.142 248.101 33.162
0.883 -0.005 0.133 0.875 0.000 0.133 1.183 2.869 877.430 249.905 34.908
0.896 -0.005 0.135 0.887 0.000 0.133 1.183 1.997 881.050 246.297 24.435
0.908 -0.005 0.137 0.899 0.000 0.135 1.184 2.119 872.001 240.885 54.107
0.920 -0.005 0.137 0.910 0.000 0.137 1.185 2.808 886.479 240.885 40.144
0.931 -0.005 0.137 0.920 0.000 0.137 1.184 2.869 875.620 255.317 50.616
0.941 -0.005 0.139 0.930 0.000 0.137 1.184 2.058 882.860 244.493 40.144
0.951 -0.005 0.140 0.939 0.000 0.139 1.184 2.119 862.952 242.689 34.908
0.960 -0.005 0.140 0.947 0.000 0.140 1.184 2.747 888.289 249.905 34.908
0.968 -0.005 0.140 0.955 0.000 0.140 1.182 2.869 879.240 262.533 43.635
0.976 -0.005 0.142 0.962 0.000 0.140 1.183 2.058 868.381 237.277 40.144
0.983 -0.005 0.144 0.969 0.000 0.142 1.184 2.119 868.381 237.277 40.144
0.989 -0.005 0.146 0.975 0.000 0.144 1.184 2.058 877.430 246.297 41.889
0.995 -0.005 0.146 0.980 0.000 0.146 1.184 2.747 886.479 251.709 36.653
1.000 -0.005 0.148 0.985 0.000 0.146 1.185 2.180 864.762 237.277 33.162
1.005 -0.005 0.149 0.989 0.000 0.148 1.183 1.997 884.669 257.121 45.380
1.009 -0.005 0.151 0.992 0.000 0.149 1.182 2.119 882.860 255.317 26.181
1.012 -0.005 0.151 0.995 0.000 0.151 1.182 2.808 870.191 249.905 38.398
1.015 -0.005 0.153 0.997 0.000 0.151 1.182 2.058 877.430 246.297 34.908
1.017 -0.004 0.155 0.999 0.000 0.153 1.181 2.058 890.099 258.925 29.672
1.019 -0.004 0.157 1.000 0.000 0.155 1.181 2.058 879.240 251.709 36.653
1.020 -0.004 0.157 1.000 0.000 0.157 1.182 2.808 870.191 239.081 41.889
1.020 -0.004 0.159 1.000 0.000 0.157 1.183 2.119 888.289 246.297 34.908
1.020 -0.004 0.159 1.020 -0.004 0.159 1.183 2.869 872.001 244.493 36.653
1.021 -0.004 0.161 1.020 -0.004 0.159 1.183 2.241 877.430 246.297 45.380
1.022 -0.004 0.162 1.020 -0.004 0.161 1.182 1.997 875.620 251.709 43.635
1.023 -0.005 0.164 1.019 -0.004 0.162 1.184 1.997 873.811 239.081 41.889
1.024 -0.005 0.164 1.017 -0.004 0.164 1.183 2.930 872.001 248.101 43.635
1.025 -0.005 0.166 1.015 -0.004 0.164 1.181 1.936 872.001 258.925 40.144
1.024 -0.005 0.167 1.012 -0.004 0.166 1.181 1.997 890.099 251.709 47.125
1.021 -0.006 0.169 1.009 -0.004 0.167 1.181 2.363 890.099 251.709 47.125
1.019 -0.006 0.169 1.005 -0.004 0.169 1.181 2.563 861.142 248.101 40.144
1.016 -0.006 0.171 1.000 -0.004 0.169 1.180 2.180 866.571 253.513 48.871
1.011 -0.006 0.173 0.995 -0.004 0.171 1.180 2.180 875.620 244.493 26.181
1.006 -0.006 0.175 0.989 -0.004 0.173 1.179 1.997 877.430 253.513 27.926
1.002 -0.006 0.175 0.982 -0.004 0.175 1.179 2.563 870.191 239.081 38.398
0.995 -0.006 0.177 0.975 -0.004 0.175 1.179 2.241 877.430 246.297 24.435
0.987 -0.006 0.179 0.967 -0.004 0.177 1.181 1.997 888.289 239.081 52.361
0.980 -0.006 0.180 0.959 -0.004 0.179 1.184 1.875 868.381 233.669 40.144
0.973 -0.006 0.180 0.950 -0.004 0.180 1.184 3.113 870.191 242.689 34.908
0.964 -0.006 0.182 0.940 -0.004 0.180 1.185 1.752 879.240 240.885 43.635
0.953 -0.006 0.184 0.930 -0.004 0.182 1.186 2.058 899.148 239.081 45.380
0.943 -0.006 0.185 0.919 -0.004 0.184 1.188 2.058 899.148 239.081 45.380
0.933 -0.007 0.185 0.907 -0.004 0.185 1.187 2.930 872.001 244.493 26.181
0.920 -0.007 0.187 0.895 -0.004 0.185 1.187 1.997 879.240 244.493 43.635
0.907 -0.007 0.189 0.882 -0.004 0.187 1.188 2.363 879.240 237.277 43.635
0.895 -0.008 0.191 0.870 -0.004 0.189 1.186 2.058 882.860 251.709 61.088
0.882 -0.008 0.191 0.857 -0.004 0.191 1.185 2.563 890.099 255.317 54.107
0.867 -0.008 0.193 0.845 -0.003 0.191 1.187 2.241 891.909 235.473 48.871
0.853 -0.008 0.195 0.832 -0.003 0.193 1.187 1.997 877.430 242.689 41.889
0.839 -0.008 0.197 0.820 -0.003 0.195 1.185 1.997 873.811 253.513 38.398
0.826 -0.008 0.197 0.807 -0.003 0.197 1.183 2.808 879.240 258.925 43.635
0.812 -0.008 0.198 0.795 -0.003 0.197 1.183 2.058 882.860 251.709 29.672
0.799 -0.008 0.200 0.782 -0.003 0.198 1.181 2.058 855.713 249.905 45.380
0.786 -0.008 0.202 0.770 -0.003 0.200 1.183 1.997 881.050 242.689 34.908
0.773 -0.008 0.202 0.757 -0.003 0.202 1.184 2.808 875.620 237.277 36.653
0.759 -0.008 0.204 0.745 -0.003 0.202 1.184 1.997 872.001 248.101 36.653
0.746 -0.008 0.205 0.732 -0.003 0.204 1.185 2.119 873.811 239.081 38.398
0.733 -0.008 0.207 0.720 -0.003 0.205 1.185 2.058 875.620 244.493 43.635
