x_est y_est heading_est x_ref y_ref heading_ref magdwick gyro mag_x mag_y mag_z
0.000 0.000 0.039 0.000 0.000 0.000 0.900 2.119 884.669 246.297 45.380
0.001 -0.000 0.039 0.000 0.000 0.039 0.929 2.869 868.381 244.493 43.635
0.002 -0.001 0.040 0.000 0.000 0.039 0.957 2.119 877.430 239.081 34.908
0.002 -0.001 0.042 0.001 0.000 0.040 0.982 2.119 891.909 249.905 34.908
0.003 -0.001 0.044 0.003 0.000 0.042 1.006 2.119 881.050 246.297 52.361
0.005 -0.002 0.044 0.007 0.000 0.044 1.027 2.808 873.811 239.081 38.398
0.007 -0.002 0.046 0.011 0.000 0.044 1.045 1.997 895.528 260.729 31.417
0.010 -0.002 0.047 0.017 0.000 0.046 1.061 1.752 884.669 264.336 41.889
0.015 -0.002 0.049 0.025 0.000 0.047 1.077 2.180 888.289 253.513 59.343
0.021 -0.002 0.049 0.035 0.000 0.049 1.090 2.747 884.669 253.513 24.435
0.028 -0.002 0.051 0.045 0.000 0.049 1.101 2.058 899.148 264.336 48.871
0.040 -0.002 0.053 0.057 0.000 0.051 1.108 2.241 852.093 264.336 24.435
0.052 -0.002 0.055 0.069 0.000 0.053 1.115 1.936 879.240 273.356 26.181
0.063 -0.002 0.055 0.081 0.000 0.055 1.124 2.625 902.768 264.336 34.908
0.077 -0.002 0.057 0.094 0.000 0.055 1.131 2.180 888.289 253.513 45.380
0.092 -0.002 0.058 0.106 0.000 0.057 1.136 1.875 888.289 264.336 31.417
0.105 -0.002 0.060 0.119 0.000 0.058 1.141 2.119 893.719 262.533 47.125
0.117 -0.002 0.060 0.131 0.000 0.060 1.147 3.174 882.860 251.709 33.162
0.131 -0.002 0.062 0.144 0.000 0.060 1.151 1.936 879.240 255.317 40.144
0.145 -0.002 0.064 0.156 0.000 0.062 1.155 2.241 886.479 255.317 33.162
0.157 -0.001 0.066 0.169 0.000 0.064 1.158 1.997 877.430 253.513 31.417
0.169 -0.001 0.066 0.181 0.000 0.066 1.161 2.991 890.099 251.709 43.635
0.183 -0.001 0.067 0.194 0.000 0.066 1.165 2.058 879.240 240.885 36.653
0.196 -0.001 0.069 0.206 0.000 0.067 1.168 2.119 882.860 251.709 29.672
0.208 -0.001 0.071 0.219 0.000 0.069 1.171 2.241 886.479 244.493 54.107
0.221 -0.001 0.071 0.231 0.000 0.071 1.173 2.808 884.669 249.905 52.361
0.234 -0.001 0.071 0.244 0.000 0.071 1.172 2.808 861.142 255.317 43.635
0.247 -0.001 0.073 0.256 0.000 0.071 1.172 2.058 877.430 257.121 38.398
0.260 -0.001 0.075 0.269 0.000 0.073 1.174 2.058 886.479 251.709 40.144
0.273 -0.001 0.075 0.281 0.000 0.075 1.173 2.991 873.811 257.121 41.889
0.286 -0.001 0.077 0.294 0.000 0.075 1.173 2.058 888.289 264.336 41.889
0.299 -0.000 0.078 0.306 0.000 0.077 1.175 2.058 888.289 242.689 34.908
0.312 -0.000 0.080 0.319 0.000 0.078 1.177 2.119 886.479 248.101 36.653
0.326 -0.000 0.080 0.331 0.000 0.080 1.177 2.808 886.479 255.317 50.616
0.339 0.000 0.082 0.344 0.000 0.080 1.176 2.058 888.289 260.729 48.871
0.352 0.000 0.084 0.356 0.000 0.082 1.175 2.119 864.762 255.317 33.162
0.365 0.000 0.086 0.369 0.000 0.084 1.177 2.119 897.338 251.709 36.653
0.378 0.001 0.086 0.381 0.000 0.086 1.178 2.808 879.240 248.101 36.653
0.391 0.001 0.086 0.394 0.000 0.086 1.178 2.869 875.620 251.709 43.635
0.404 0.001 0.087 0.406 0.000 0.086 1.180 2.058 893.719 240.885 33.162
0.417 0.001 0.089 0.419 0.000 0.087 1.180 2.058 873.811 249.905 34.908
0.430 0.001 0.089 0.431 0.000 0.089 1.180 2.991 884.669 253.513 38.398
0.443 0.001 0.089 0.444 0.000 0.089 1.180 2.869 890.099 255.317 40.144
0.455 0.000 0.091 0.456 0.000 0.089 1.179 2.119 872.001 251.709 43.635
0.468 0.000 0.093 0.469 0.000 0.091 1.178 1.997 881.050 260.729 38.398
0.481 0.000 0.093 0.481 0.000 0.093 1.179 2.869 882.860 248.101 36.653
0.494 0.000 0.095 0.494 0.000 0.093 1.178 2.058 888.289 257.121 48.871
0.507 0.001 0.096 0.506 0.000 0.095 1.178 2.058 882.860 258.925 40.144
0.519 0.001 0.098 0.519 0.000 0.096 1.180 2.058 872.001 237.277 36.653
0.532 0.001 0.098 0.531 0.000 0.098 1.180 2.747 893.719 251.709 36.653
0.545 0.001 0.100 0.544 0.000 0.098 1.180 2.241 873.811 253.513 48.871
0.558 0.001 0.102 0.556 0.000 0.100 1.178 1.997 873.811 260.729 45.380
0.570 0.001 0.104 0.569 0.000 0.102 1.177 2.180 873.811 253.513 41.889
0.583 0.002 0.104 0.581 0.000 0.104 1.177 2.808 873.811 253.513 31.417
0.596 0.002 0.104 0.594 0.000 0.104 1.178 2.869 884.669 249.905 27.926
0.608 0.002 0.106 0.606 0.000 0.104 1.177 2.180 879.240 258.925 43.635
0.621 0.002 0.108 0.619 0.000 0.106 1.176 2.058 884.669 260.729 34.908
0.633 0.002 0.108 0.631 0.000 0.108 1.179 2.869 879.240 237.277 36.653
0.646 0.001 0.108 0.644 0.000 0.108 1.180 2.808 881.050 242.689 52.361
0.658 0.001 0.109 0.656 0.000 0.108 1.179 2.180 881.050 260.729 41.889
0.671 0.001 0.111 0.669 0.000 0.109 1.179 2.058 881.050 249.905 34.908
0.683 0.001 0.111 0.681 0.000 0.111 1.178 2.930 873.811 253.513 41.889
0.696 0.001 0.111 0.694 0.000 0.111 1.179 2.869 888.289 253.513 41.889
0.708 0.001 0.113 0.706 0.000 0.111 1.178 2.119 888.289 260.729 41.889
0.721 0.001 0.115 0.719 0.000 0.113 1.177 2.119 877.430 257.121 34.908
0.733 0.001 0.115 0.731 0.000 0.115 1.178 2.808 879.240 248.101 40.144
0.746 0.001 0.115 0.744 0.000 0.115 1.179 2.869 872.001 244.493 29.672
0.759 0.001 0.117 0.756 0.000 0.115 1.179 2.058 882.860 248.101 54.107
