index,x_est,x_ref
299,1.237,1.236
300,1.250,1.248
301,1.262,1.261
302,1.274,1.273
303,1.287,1.286
304,1.299,1.298
305,1.312,1.311
306,1.324,1.323
307,1.337,1.336
308,1.349,1.348
309,1.362,1.361
310,1.374,1.373
311,1.387,1.386
312,1.399,1.398
313,1.412,1.411
314,1.424,1.423
315,1.437,1.436
316,1.450,1.448
317,1.462,1.461
318,1.474,1.473
319,1.487,1.486
320,1.500,1.498
321,1.512,1.511
322,1.524,1.523
323,1.537,1.536
324,1.550,1.548
325,1.562,1.561
326,1.574,1.573
327,1.587,1.586
328,1.600,1.598
329,1.612,1.611
330,1.625,1.623
331,1.637,1.636
332,1.650,1.648
333,1.662,1.661
334,1.675,1.673
335,1.687,1.686
336,1.699,1.698
337,1.712,1.711
338,1.724,1.723
339,1.737,1.736
340,1.749,1.748
341,1.762,1.761
342,1.774,1.773
343,1.787,1.786
344,1.799,1.798
345,1.812,1.811
346,1.825,1.823
347,1.837,1.836
348,1.850,1.848
349,1.862,1.861
350,1.875,1.873
351,1.887,1.886
352,1.899,1.898
353,1.912,1.911
354,1.925,1.923
355,1.937,1.935
356,1.949,1.947
357,1.962,1.957
358,1.974,1.967
359,1.985,1.975
360,1.995,1.982
361,2.003,1.987
362,2.010,1.992
363,2.015,1.995
364,2.018,1.997
365,2.020,1.998
366,2.022,1.998
367,2.022,1.998
