index,x_est,x_ref
1,0.001,0.000
2,0.003,0.000
3,0.004,0.000
4,0.005,0.001
5,0.007,0.003
6,0.009,0.006
7,0.011,0.011
8,0.015,0.016
9,0.021,0.023
10,0.028,0.031
11,0.036,0.041
12,0.046,0.051
13,0.057,0.063
14,0.068,0.075
15,0.080,0.088
16,0.094,0.100
17,0.107,0.113
18,0.120,0.125
19,0.132,0.138
20,0.144,0.150
21,0.157,0.163
22,0.168,0.175
23,0.181,0.188
24,0.194,0.200
25,0.206,0.213
26,0.219,0.225
27,0.231,0.238
28,0.245,0.250
29,0.257,0.263
30,0.270,0.275
31,0.283,0.287
32,0.296,0.300
33,0.308,0.312
34,0.321,0.325
35,0.334,0.337
36,0.347,0.350
37,0.359,0.362
38,0.372,0.375
39,0.385,0.387
40,0.397,0.400
41,0.410,0.412
42,0.423,0.425
43,0.436,0.437
44,0.449,0.450
45,0.461,0.462
46,0.474,0.475
47,0.487,0.487
48,0.499,0.500
49,0.512,0.512
50,0.525,0.525
51,0.537,0.537
52,0.550,0.550
53,0.562,0.562
54,0.575,0.575
55,0.587,0.587
56,0.600,0.600
57,0.613,0.612
58,0.625,0.625
59,0.638,0.637
60,0.650,0.650
61,0.663,0.662
62,0.675,0.675
63,0.688,0.687
64,0.701,0.700
65,0.713,0.712
66,0.726,0.725
67,0.738,0.737
68,0.751,0.750
69,0.763,0.762
70,0.776,0.775
71,0.788,0.787
72,0.801,0.800
73,0.813,0.812
74,0.826,0.825
75,0.838,0.837
76,0.851,0.850
77,0.863,0.862
78,0.876,0.875
79,0.889,0.887
80,0.901,0.900
81,0.914,0.912
82,0.927,0.925
83,0.939,0.937
84,0.951,0.949
85,0.963,0.959
86,0.974,0.969
87,0.984,0.977
88,0.992,0.984
89,0.999,0.989
90,1.004,0.994
91,1.009,0.997
92,1.012,0.999
93,1.013,1.000
94,1.014,1.000
95,1.015,1.000
96,1.015,1.015
97,1.016,1.015
98,1.017,1.014
99,1.018,1.013
100,1.018,1.012
101,1.018,1.008
102,1.017,1.004
103,1.012,0.998
104,1.006,0.992
105,1.000,0.983
106,0.992,0.974
107,0.982,0.963
108,0.971,0.952
109,0.959,0.940
110,0.946,0.927
111,0.932,0.915
112,0.919,0.902
113,0.906,0.890
114,0.893,0.877
115,0.880,0.865
116,0.867,0.852
117,0.855,0.840
118,0.841,0.827
119,0.828,0.815
120,0.815,0.802
121,0.802,0.790
122,0.789,0.777
123,0.775,0.765
124,0.763,0.752
125,0.750,0.740
126,0.736,0.727
127,0.723,0.715
128,0.710,0.702
129,0.697,0.690
130,0.683,0.677
131,0.670,0.665
132,0.657,0.652
133,0.644,0.640
134,0.631,0.627
135,0.618,0.615
136,0.605,0.602
137,0.592,0.590
138,0.579,0.577
139,0.566,0.565
140,0.554,0.552
141,0.541,0.540
142,0.528,0.527
143,0.515,0.515
144,0.503,0.502
145,0.490,0.490
146,0.477,0.477
147,0.464,0.465
148,0.451,0.452
149,0.438,0.440
150,0.426,0.427
151,0.413,0.415
152,0.400,0.402
153,0.387,0.390
154,0.375,0.377
155,0.362,0.365
156,0.350,0.352
157,0.337,0.340
158,0.325,0.327
159,0.312,0.315
160,0.300,0.302
161,0.287,0.290
162,0.275,0.277
163,0.262,0.265
164,0.250,0.252
165,0.238,0.240
166,0.225,0.227
167,0.212,0.215
168,0.200,0.202
169,0.187,0.190
170,0.174,0.177
171,0.162,0.165
172,0.149,0.152
173,0.137,0.140
174,0.124,0.127
175,0.112,0.115
176,0.099,0.102
177,0.087,0.090
178,0.074,0.077
179,0.062,0.065
180,0.050,0.054
181,0.038,0.043
182,0.027,0.034
183,0.017,0.026
184,0.009,0.019
185,0.002,0.013
186,-0.004,0.009
187,-0.008,0.006
188,-0.011,0.004
189,-0.013,0.003
190,-0.014,0.002
191,-0.014,0.002
192,-0.014,-0.014
193,-0.015,-0.014
194,-0.017,-0.014
195,-0.018,-0.013
196,-0.018,-0.011
197,-0.018,-0.008
198,-0.016,-0.003
199,-0.012,0.002
200,-0.006,0.009
201,0.000,0.017
202,0.008,0.027
203,0.019,0.037
204,0.030,0.049
205,0.041,0.061
206,0.054,0.073
207,0.068,0.086
208,0.081,0.098
209,0.094,0.111
210,0.107,0.123
211,0.120,0.136
212,0.133,0.148
213,0.145,0.161
214,0.159,0.173
215,0.172,0.186
216,0.185,0.198
217,0.198,0.211
218,0.211,0.223
219,0.224,0.236
220,0.237,0.248
221,0.250,0.261
222,0.264,0.273
223,0.277,0.286
224,0.289,0.298
225,0.302,0.311
226,0.316,0.323
227,0.329,0.336
228,0.342,0.348
229,0.355,0.361
230,0.368,0.373
231,0.381,0.386
232,0.393,0.398
233,0.406,0.411
234,0.419,0.423
235,0.432,0.436
236,0.445,0.448
237,0.458,0.461
238,0.471,0.473
239,0.483,0.486
240,0.496,0.498
241,0.509,0.511
242,0.522,0.523
243,0.535,0.536
244,0.548,0.548
245,0.560,0.561
246,0.573,0.573
247,0.586,0.586
248,0.599,0.598
249,0.611,0.611
250,0.624,0.623
251,0.637,0.636
252,0.649,0.648
253,0.662,0.661
254,0.674,0.673
255,0.687,0.686
256,0.699,0.698
257,0.712,0.711
258,0.724,0.723
259,0.737,0.736
260,0.749,0.748
261,0.762,0.761
262,0.775,0.773
263,0.787,0.786
264,0.800,0.798
265,0.812,0.811
266,0.825,0.823
267,0.838,0.836
268,0.850,0.848
269,0.863,0.861
270,0.875,0.873
271,0.888,0.886
272,0.900,0.898
273,0.913,0.911
274,0.925,0.923
275,0.938,0.936
276,0.950,0.948
277,0.963,0.961
278,0.975,0.973
279,0.988,0.986
280,1.000,0.998
281,1.013,1.011
282,1.025,1.023
283,1.037,1.036
284,1.050,1.048
285,1.062,1.061
286,1.075,1.073
287,1.087,1.086
288,1.100,1.098
289,1.112,1.111
290,1.125,1.123
291,1.137,1.136
292,1.150,1.148
293,1.162,1.161
294,1.175,1.173
295,1.187,1.186
296,1.200,1.198
297,1.212,1.211
298,1.224,1.223
