x_est y_est heading_est x_ref y_ref heading_ref magdwick gyro mag_x mag_y mag_z
0.893 1.691 1.081 0.566 0.566 1.070 0.638 12.268 721.787 585.440 69.815
0.847 1.717 1.081 0.575 0.575 1.081 0.665 3.723 710.928 578.224 87.269
0.802 1.740 1.074 0.583 0.583 1.081 0.700 -7.690 721.787 563.793 80.288
0.759 1.758 1.073 0.592 0.592 1.074 0.717 -1.648 707.308 581.832 73.306
0.717 1.772 1.077 0.601 0.601 1.073 0.728 4.822 729.026 578.224 83.778
0.675 1.782 1.077 0.610 0.610 1.077 0.740 1.892 730.836 565.597 82.033
0.637 1.788 1.081 0.619 0.619 1.077 0.748 4.639 732.645 567.401 83.778
0.602 1.790 1.085 0.628 0.628 1.081 0.753 4.822 716.357 569.204 92.505
0.571 1.789 1.083 0.636 0.636 1.085 0.762 -2.197 727.216 572.812 89.015
0.542 1.786 1.083 0.645 0.645 1.083 0.776 -6.958 739.885 581.832 59.343
0.517 1.781 1.066 0.654 0.654 1.083 0.800 -20.020 736.265 567.401 90.760
0.495 1.774 1.040 0.663 0.663 1.066 0.828 -29.602 756.173 565.597 78.542
0.474 1.765 1.008 0.672 0.672 1.040 0.859 -36.194 763.412 561.989 85.524
0.455 1.755 1.008 0.681 0.681 1.008 0.881 -39.062 767.032 576.420 75.051
0.439 1.742 0.971 0.689 0.689 1.008 0.898 -42.786 776.081 563.793 90.760
0.425 1.728 0.923 0.698 0.698 0.971 0.931 -55.176 790.559 545.753 97.741
0.411 1.714 0.871 0.707 0.707 0.923 0.966 -59.326 801.418 531.322 97.741
0.401 1.697 0.871 0.716 0.716 0.871 0.998 -58.289 812.277 524.106 108.214
0.393 1.679 0.823 0.725 0.725 0.871 1.033 -55.115 805.038 502.458 97.741
0.386 1.660 0.784 0.734 0.734 0.823 1.048 -45.227 843.044 507.870 64.579
0.379 1.641 0.755 0.742 0.742 0.784 1.050 -32.654 852.093 495.242 108.214
0.376 1.620 0.755 0.751 0.751 0.755 1.047 -29.663 881.050 502.458 90.760
