1_est 2_est 3_est 4_est 1_ref 2_ref 3_ref 4_ref
-7.854 -8.247 -8.116 -8.159 -8.036 -8.134 -7.743 -8.427
-7.592 -8.552 -8.116 -7.898 -8.071 -8.105 -7.552 -8.624
-7.723 -8.508 -7.374 -8.203 -8.160 -8.034 -7.585 -8.609
-8.203 -7.854 -6.894 -8.683 -8.166 -8.053 -7.648 -8.571
-8.203 -7.810 -7.199 -8.639 -8.149 -8.090 -7.696 -8.543
-7.854 -8.203 -7.505 -8.203 -8.145 -8.116 -7.725 -8.537
-8.029 -7.985 -7.374 -8.203 -8.138 -8.151 -7.750 -8.539
-8.203 -7.854 -7.418 -8.552 -8.118 -8.189 -7.811 -8.496
-8.029 -8.159 -8.072 -8.552 -8.093 -8.212 -7.818 -8.487
-7.854 -8.029 -8.378 -8.029 -8.060 -8.259 -8.022 -8.297
-8.029 -7.898 -7.941 -8.203 -7.975 -8.360 -7.937 -8.398
-7.723 -7.898 -8.116 -8.465 -7.928 -8.418 -8.247 -8.099
-7.418 -7.418 -8.421 -8.203 -7.813 -8.566 -8.176 -8.203
-7.374 -7.287 -7.287 -7.461 -7.841 -8.624 -8.174 -8.291
-7.069 -7.156 -7.069 -7.592 -7.900 -8.664 -8.233 -8.331
-6.589 -6.938 -7.461 -7.898 -7.909 -8.749 -8.510 -8.148
-7.069 -7.156 -7.069 -7.592 -7.850 -8.908 -8.519 -8.239
-7.243 -8.029 -7.112 -7.767 -7.865 -8.965 -8.549 -8.281
-7.243 -8.247 -8.203 -8.596 -7.861 -8.986 -8.617 -8.230
-7.810 -8.945 -8.116 -8.814 -7.765 -9.050 -8.852 -7.963
-8.159 -9.207 -7.985 -8.552 -7.629 -9.163 -8.776 -8.016
-7.985 -9.250 -8.596 -8.639 -7.600 -9.158 -8.732 -8.026
-7.854 -9.294 -8.378 -8.508 -7.574 -9.153 -8.810 -7.916
-7.636 -9.250 -8.203 -8.378 -7.511 -9.196 -8.861 -7.847
-7.549 -9.119 -8.727 -8.290 -7.462 -9.226 -8.840 -7.848
-7.679 -9.119 -8.727 -8.029 -7.481 -9.207 -8.683 -8.005
-7.505 -9.076 -8.814 -8.116 -7.508 -9.155 -8.861 -7.802
-7.679 -8.945 -8.901 -8.334 -7.429 -9.208 -8.838 -7.799
-7.941 -9.163 -9.250 -7.941 -7.396 -9.206 -8.820 -7.783
-7.679 -8.901 -9.381 -7.723 -7.380 -9.201 -8.826 -7.755
-7.767 -9.076 -9.207 -8.116 -7.304 -9.224 -8.986 -7.542
-7.767 -9.338 -8.945 -8.116 -7.197 -9.297 -8.921 -7.573
-7.418 -9.163 -9.119 -7.592 -7.182 -9.299 -8.915 -7.566
-7.418 -8.988 -8.901 -7.636 -7.152 -9.317 -8.993 -7.476
-7.243 -9.294 -8.203 -7.898 -7.061 -9.386 -9.146 -7.302
-7.025 -9.250 -8.596 -7.592 -7.004 -9.464 -9.012 -7.456
-7.112 -9.032 -8.683 -7.156 -7.041 -9.447 -9.064 -7.423
-6.981 -9.425 -8.552 -7.549 -7.021 -9.464 -9.131 -7.355
-6.807 -9.556 -8.465 -7.636 -7.008 -9.494 -9.064 -7.438
-7.156 -9.338 -8.945 -7.243 -7.057 -9.463 -8.999 -7.521
-7.112 -9.381 -9.076 -7.374 -7.097 -9.420 -9.036 -7.480
-6.981 -9.556 -8.901 -7.810 -7.093 -9.416 -9.022 -7.486
-7.374 -9.468 -9.294 -7.461 -7.091 -9.399 -9.011 -7.480
-7.330 -9.163 -9.687 -7.243 -7.120 -9.371 -8.895 -7.596
-7.287 -9.512 -9.338 -7.505 -7.162 -9.309 -8.924 -7.547
-7.374 -9.556 -8.988 -7.461 -7.131 -9.313 -9.015 -7.429
-7.330 -9.294 -9.294 -7.199 -7.108 -9.339 -8.888 -7.560
-7.287 -9.076 -8.683 -7.330 -7.089 -9.342 -9.129 -7.302
-7.418 -9.512 -8.378 -7.592 -6.988 -9.440 -9.058 -7.370
-7.025 -9.250 -8.552 -7.461 -6.990 -9.455 -9.056 -7.388
-7.112 -9.032 -8.727 -7.243 -7.007 -9.460 -9.047 -7.420
-7.243 -9.250 -8.203 -7.549 -6.936 -9.499 -9.357 -7.079
-6.676 -9.512 -8.465 -7.636 -6.811 -9.636 -9.256 -7.191
-6.720 -9.119 -8.814 -7.156 -6.891 -9.627 -9.013 -7.505
-7.199 -9.338 -8.988 -7.112 -6.979 -9.527 -9.237 -7.269
-6.850 -9.556 -8.858 -7.592 -6.871 -9.598 -9.393 -7.076
-6.676 -9.512 -9.425 -7.287 -6.785 -9.682 -9.302 -7.164
-7.374 -9.425 -9.948 -6.676 -6.830 -9.650 -9.128 -7.352
-7.069 -9.774 -9.774 -7.156 -6.835 -9.580 -9.396 -7.018
-6.676 -9.817 -9.556 -7.636 -6.660 -9.684 -9.502 -6.843
-6.938 -9.905 -9.643 -6.981 -6.555 -9.769 -9.392 -6.932
-6.850 -9.425 -9.599 -6.545 -6.579 -9.764 -9.332 -7.011
-6.370 -9.556 -9.119 -7.287 -6.540 -9.763 -9.580 -6.723
-6.676 -9.556 -8.639 -7.287 -6.415 -9.887 -9.552 -6.751
-6.632 -9.381 -9.076 -6.458 -6.401 -9.927 -9.553 -6.775
-6.414 -8.988 -9.163 -6.545 -6.362 -9.966 -9.723 -6.605
-6.763 -9.905 -8.988 -7.069 -6.251 -10.050 -9.753 -6.548
-6.720 -9.730 -9.207 -6.676 -6.227 -10.098 -9.661 -6.664
-6.283 -9.861 -10.036 -6.240 -6.273 -10.055 -9.683 -6.645
-6.720 -9.948 -9.774 -6.632 -6.265 -10.049 -9.678 -6.637
-6.676 -10.341 -9.992 -6.720 -6.265 -10.027 -9.632 -6.660
-6.283 -9.992 -10.297 -6.458 -6.183 -9.874 -9.550 -6.507
-6.676 -10.210 -10.123 -6.545 -5.898 -9.496 -9.124 -6.270
-6.676 -10.036 -9.774 -6.807 -5.451 -8.838 -8.455 -5.834
-5.978 -9.599 -9.338 -6.414 -4.850 -7.917 -7.513 -5.254
-5.934 -9.032 -8.770 -6.196 -4.140 -6.839 -6.506 -4.474
-5.280 -8.072 -7.549 -5.672 -3.397 -5.804 -5.432 -3.769
-4.145 -7.156 -6.589 -4.669 -2.694 -4.744 -4.386 -3.052
-3.752 -5.672 -5.367 -3.796 -1.980 -3.714 -3.332 -2.362
-3.054 -4.669 -4.320 -3.054 -1.288 -2.663 -2.314 -1.636
-1.920 -3.491 -3.185 -2.094 -0.593 -1.644 -1.272 -0.965
-1.571 -2.836 -2.531 -1.571 -0.010 -0.692 -0.381 -0.321
-1.134 -1.789 -1.658 -1.265 0.479 -0.062 0.328 0.089
-0.305 -1.353 -0.960 -0.654 0.757 0.349 0.756 0.350
-0.044 -0.785 -0.524 -0.349 0.839 0.529 0.901 0.467
0.000 0.000 0.000 0.000 0.145 -0.286 0.086 -0.227
-0.524 -0.349 -0.349 -0.087 0.279 -0.181 0.267 -0.169
-0.218 -0.567 -0.349 -0.349 0.628 0.141 0.767 0.002
0.000 -0.829 -0.349 -0.524 1.267 0.628 1.662 0.233
-0.175 -0.873 -0.262 -0.524 2.184 1.309 2.929 0.564
0.436 -0.654 0.262 -0.436 3.235 2.103 4.395 0.943
1.484 -0.087 1.134 -0.349 4.294 2.908 5.888 1.314
1.789 0.393 1.833 0.436 5.343 3.743 7.415 1.672
2.836 1.440 3.054 1.004 6.256 4.672 8.940 1.988
4.407 2.182 4.887 1.571 7.325 5.440 10.503 2.263
5.236 3.142 6.545 2.182 8.234 6.308 12.064 2.478
6.545 4.058 8.203 2.793 8.788 7.224 13.477 2.535
7.810 5.061 10.559 2.880 9.031 7.949 14.548 2.432
8.290 5.847 12.479 2.923 9.493 8.143 15.263 2.373
8.770 6.981 13.570 2.967 9.475 8.280 15.609 2.146
9.338 7.069 14.443 2.793 8.734 8.678 15.761 1.651
9.250 7.461 15.315 2.356 8.334 8.815 15.880 1.269
8.508 7.854 15.184 1.745 8.463 8.647 16.018 1.091
8.247 7.854 14.748 1.571 8.086 8.782 16.138 0.731
8.378 7.636 14.704 1.134 7.539 9.005 16.244 0.299
7.592 7.723 14.923 0.611 6.946 9.234 16.325 -0.145
6.850 7.854 15.053 0.436 7.089 9.089 16.486 -0.307
7.156 8.334 15.446 0.436 6.937 9.061 16.589 -0.591
7.243 8.290 15.882 0.087 6.497 9.153 16.639 -0.989
6.021 8.465 16.188 -0.305 6.298 9.150 16.675 -1.227
5.934 8.901 16.101 -0.480 6.337 9.074 16.679 -1.268
6.414 9.076 16.057 -0.698 5.574 9.382 16.467 -1.511
6.021 8.596 16.144 -0.873 4.729 9.766 16.167 -1.672
5.236 8.988 16.013 -1.047 4.134 10.069 15.865 -1.662
5.105 9.468 15.882 -1.004 3.916 10.227 15.632 -1.490
4.625 9.687 15.882 -1.004 3.288 10.541 15.279 -1.451
4.102 9.948 15.621 -1.047 2.917 10.771 14.977 -1.290
3.403 10.472 15.272 -1.047 2.670 10.966 14.688 -1.052
2.967 10.821 14.966 -0.873 2.427 11.170 14.386 -0.789
3.054 10.734 14.399 -0.742 2.149 11.385 14.109 -0.575
2.618 10.908 14.050 -0.654 1.888 11.559 13.885 -0.438
2.094 10.865 13.701 -0.436 1.566 11.721 13.701 -0.414
2.269 11.083 13.526 -0.305 1.538 11.730 13.651 -0.383
1.963 11.170 13.701 -0.262 0.859 12.325 13.007 0.177
1.658 11.301 13.919 -0.480 0.692 12.331 12.939 0.084
1.571 11.955 13.526 -0.305 1.385 12.009 13.134 0.261
0.960 12.435 13.264 -0.262 1.239 12.148 12.893 0.494
1.265 12.217 13.264 -0.218 0.878 12.243 12.740 0.381
1.527 12.086 12.915 -0.262 1.154 12.039 12.866 0.327
1.004 12.261 12.479 0.087 1.340 11.981 12.851 0.471
1.614 11.606 12.610 0.000 1.298 12.028 12.772 0.553
2.487 11.170 13.046 0.000 1.437 11.960 12.793 0.604
1.440 11.519 12.654 0.000 1.599 11.922 12.779 0.743
1.658 11.825 12.828 0.087 1.379 12.021 12.646 0.754
2.182 11.650 13.352 0.000 1.450 11.924 12.670 0.705
1.309 11.868 13.177 0.044 1.816 11.758 12.715 0.859
1.004 12.217 12.872 0.218 1.646 11.865 12.542 0.969
1.920 11.868 13.003 0.436 1.476 11.879 12.486 0.869
1.396 11.476 12.566 0.567 1.563 11.795 12.541 0.818
1.396 11.606 12.130 0.785 1.807 11.697 12.591 0.914
1.876 11.388 12.086 0.829 1.622 11.816 12.487 0.951
1.745 11.257 12.305 0.829 1.536 11.825 12.488 0.873
1.484 11.606 12.217 0.873 1.586 11.774 12.520 0.840
1.484 11.912 12.392 0.829 1.513 11.784 12.477 0.820
1.527 11.825 12.872 0.611 1.289 11.826 12.404 0.711
1.658 11.912 12.915 0.611 1.521 11.653 12.491 0.682
1.309 12.043 12.828 0.611 1.487 11.663 12.407 0.743
1.440 11.694 12.654 0.436 1.192 11.757 12.302 0.647
2.007 11.432 12.785 0.436 1.526 11.546 12.445 0.627
1.222 11.345 12.043 0.611 1.818 11.485 12.458 0.846
1.265 11.694 11.999 0.611 1.729 11.589 12.336 0.983
2.007 11.432 11.999 0.611 1.520 11.672 12.280 0.912
1.353 11.606 12.217 0.785 1.607 11.589 12.338 0.858
0.916 12.043 11.999 0.960 1.701 11.544 12.338 0.906
1.833 12.086 12.523 0.873 1.676 11.537 12.282 0.931
1.484 11.606 12.959 0.916 1.797 11.460 12.279 0.978
1.309 11.781 12.435 1.047 2.149 11.319 12.309 1.159
1.745 11.737 12.305 1.178 2.196 11.352 12.204 1.345
2.051 10.996 12.174 1.222 2.152 11.403 12.153 1.402
2.051 11.126 11.825 1.396 2.026 11.463 12.130 1.359
2.138 11.432 11.432 1.527 2.115 11.408 12.193 1.330
2.007 11.170 11.781 1.484 1.978 11.481 12.154 1.305
2.269 10.996 12.086 1.178 2.012 11.447 12.196 1.263
2.182 11.432 12.174 1.134 2.591 11.189 12.315 1.465
1.745 11.257 12.610 1.265 2.368 11.384 12.097 1.655
2.443 11.170 12.828 1.353 2.215 11.419 12.057 1.577
2.487 11.432 12.828 1.353 2.269 11.335 12.086 1.517
2.094 11.388 12.610 1.789 2.186 11.348 12.047 1.486
2.618 11.257 12.566 1.833 2.288 11.263 12.077 1.473
2.880 11.345 12.130 1.440 2.375 11.227 12.066 1.536
2.094 10.996 11.694 1.353 2.343 11.280 12.033 1.590
2.574 11.126 11.694 1.527 2.305 11.302 12.032 1.574
2.967 11.257 11.650 1.178 2.152 11.364 12.014 1.502
2.182 11.039 11.999 1.134 2.078 11.373 12.037 1.414
2.182 11.214 12.174 1.614 2.113 11.325 12.075 1.363
2.531 11.694 12.479 1.658 2.055 11.317 12.041 1.331
1.658 11.388 12.697 1.440 2.051 11.292 12.025 1.318
1.614 11.606 12.610 1.484 2.132 11.230 12.022 1.339
1.920 11.825 12.261 1.658 2.108 11.227 11.978 1.358
1.745 11.388 12.174 1.396 2.059 11.241 11.954 1.347
1.963 10.996 11.955 1.309 2.127 11.208 11.987 1.347
2.356 11.039 11.694 1.440 2.042 11.259 11.969 1.333
1.963 10.996 11.781 1.484 2.060 11.249 11.998 1.311
2.051 11.257 11.999 1.309 2.070 11.243 11.998 1.314
2.007 11.519 12.217 1.353 2.034 11.245 11.973 1.306
1.702 11.650 12.479 1.440 2.037 11.216 11.957 1.296
2.007 11.650 12.654 1.396 2.040 11.183 11.932 1.290
2.094 11.345 12.479 1.484 2.222 11.085 11.958 1.348
2.051 11.301 12.261 1.527 1.980 11.212 11.844 1.348
2.443 11.257 11.955 1.396 1.914 11.199 11.874 1.239
2.007 11.170 11.825 1.265 1.948 11.167 11.915 1.200
1.745 11.257 11.650 1.047 1.903 11.196 11.908 1.191
2.094 11.345 11.737 0.873 1.719 11.266 11.879 1.107
1.789 11.126 11.868 0.742 2.030 11.107 12.008 1.128
1.571 11.039 11.737 0.785 1.973 11.193 11.942 1.225
2.269 11.301 11.912 1.091 1.722 11.295 11.882 1.136
1.920 11.345 12.217 1.222 1.633 11.273 11.913 0.993
1.571 11.432 12.174 1.396 1.814 11.156 11.991 0.979
1.963 11.519 12.305 1.571 1.751 11.186 11.932 1.005
2.007 11.388 12.523 1.440 1.842 11.124 11.941 1.026
1.658 10.996 12.261 1.353 2.084 11.041 11.972 1.153
2.007 10.821 11.825 1.527 2.221 10.886 11.805 1.302
2.182 10.908 11.606 1.222 2.072 10.531 11.283 1.321
1.920 10.646 11.519 1.134 1.850 9.834 10.502 1.182
1.833 10.603 11.301 1.353 1.782 8.691 9.478 0.995
1.920 10.472 10.690 0.960 1.372 7.552 8.127 0.797
1.876 9.250 10.167 0.698 1.288 6.185 6.933 0.540
1.745 7.898 9.250 0.785 1.203 4.848 5.691 0.360
1.484 6.894 7.505 0.698 0.986 3.612 4.378 0.220
1.440 5.280 6.240 0.393 0.734 2.401 3.074 0.062
1.047 3.665 4.887 0.349 0.596 1.116 1.865 -0.153
0.654 2.793 3.185 0.218 0.451 0.017 0.777 -0.309
0.436 1.789 2.138 0.087 0.356 -0.791 -0.003 -0.432
0.436 0.785 1.309 -0.087 0.277 -1.270 -0.497 -0.496
0.131 0.262 0.262 -0.087 0.243 -1.429 -0.679 -0.507
