1_est 2_est 3_est 4_est 1_ref 2_ref 3_ref 4_ref
-17.191 -10.865 -7.025 -17.061 -13.111 -26.197 -26.492 -12.815
-15.228 -13.003 -9.032 -15.272 -10.662 -26.894 -27.323 -10.233
-13.657 -14.355 -10.908 -13.614 -8.072 -27.476 -27.956 -7.592
-11.214 -16.101 -13.483 -10.646 -6.699 -27.872 -27.743 -6.829
-8.334 -17.977 -15.315 -7.810 -4.667 -27.915 -28.359 -4.223
-7.025 -19.068 -15.839 -7.243 -2.535 -28.115 -28.463 -2.187
-5.629 -19.897 -17.322 -5.411 -0.740 -28.205 -28.428 -0.517
-2.443 -20.857 -19.286 -1.789 0.194 -28.349 -28.237 0.082
-0.785 -21.729 -19.766 -0.916 1.745 -28.062 -28.379 2.062
-1.396 -22.253 -19.897 -1.963 3.612 -27.877 -28.211 3.946
0.131 -22.427 -20.988 0.742 5.344 -27.643 -27.945 5.646
3.491 -22.820 -21.773 4.232 6.157 -27.758 -27.661 6.061
4.276 -23.344 -21.642 3.971 7.866 -27.013 -27.497 8.351
3.752 -23.649 -21.904 3.447 9.901 -26.418 -26.901 10.384
6.065 -23.475 -22.515 6.458 11.813 -25.720 -26.200 12.293
9.643 -23.169 -22.864 9.556 12.608 -25.848 -25.773 12.533
10.646 -22.995 -22.340 10.167 14.343 -24.469 -25.126 15.001
10.385 -23.213 -21.817 10.297 16.694 -22.934 -23.767 17.527
12.697 -22.471 -21.773 12.479 18.952 -21.305 -22.129 19.776
16.275 -20.595 -21.249 15.490 19.819 -21.507 -21.463 19.775
17.628 -19.460 -19.679 17.017 20.881 -20.107 -20.594 21.369
17.890 -19.679 -19.068 17.322 22.192 -18.842 -19.348 22.698
19.853 -18.719 -19.024 19.330 23.217 -17.974 -18.309 23.553
22.471 -16.450 -17.366 22.689 23.618 -18.000 -17.974 23.592
22.951 -16.188 -15.752 23.431 23.885 -17.662 -17.720 23.942
22.078 -17.628 -16.450 22.078 24.205 -17.446 -17.453 24.212
22.427 -17.061 -17.191 22.558 24.474 -17.248 -17.241 24.467
23.867 -15.446 -16.144 24.304 24.407 -16.827 -16.803 24.383
23.998 -16.493 -16.101 24.129 23.894 -14.384 -14.729 24.239
22.907 -17.802 -17.191 23.038 23.502 -12.093 -12.425 23.834
22.471 -15.053 -15.577 23.126 23.024 -9.777 -10.156 23.404
22.777 -10.996 -11.606 23.562 22.341 -8.653 -8.643 22.330
22.384 -9.774 -9.468 22.951 21.509 -6.785 -7.032 21.757
21.162 -8.901 -8.378 21.511 20.806 -5.433 -5.538 20.910
20.246 -5.454 -5.541 20.682 20.050 -4.357 -4.375 20.068
20.028 -3.403 -3.578 20.420 19.251 -3.381 -3.376 19.246
19.591 -4.625 -4.014 19.679 18.458 -2.342 -2.337 18.453
18.588 -4.363 -3.622 18.588 17.743 -1.522 -1.414 17.635
17.802 -1.658 -1.833 17.933 17.018 -0.754 -0.642 16.905
