x_est y_est heading_est x_ref y_ref heading_ref magdwick gyro mag_x mag_y mag_z
0.000 0.000 0.039 0.000 0.000 0.000 0.693 2.180 631.296 625.127 76.797
0.002 -0.000 0.041 0.000 0.000 0.039 0.698 2.302 631.296 610.695 52.361
0.006 -0.000 0.041 0.000 0.000 0.041 0.691 2.625 615.008 616.107 85.524
0.008 -0.001 0.042 0.001 0.000 0.041 0.694 2.241 640.345 616.107 47.125
0.010 -0.001 0.044 0.003 0.000 0.042 0.694 2.241 643.965 630.539 68.070
0.014 -0.001 0.046 0.006 0.000 0.044 0.698 2.119 633.106 623.323 68.070
0.018 -0.002 0.046 0.011 0.000 0.046 0.692 2.808 636.726 623.323 64.579
0.020 -0.002 0.048 0.016 0.000 0.046 0.694 2.180 643.965 626.931 54.107
0.025 -0.002 0.050 0.023 0.000 0.048 0.695 2.302 642.155 617.911 66.325
0.033 -0.003 0.052 0.031 0.000 0.050 0.702 2.058 631.296 614.303 69.815
0.041 -0.003 0.052 0.041 0.000 0.052 0.703 2.808 634.916 610.695 62.834
0.049 -0.003 0.054 0.051 0.000 0.052 0.698 2.119 642.155 632.343 69.815
0.059 -0.003 0.056 0.063 0.000 0.054 0.693 1.997 642.155 632.343 69.815
0.072 -0.003 0.057 0.076 0.000 0.056 0.698 2.119 631.296 628.735 55.852
0.084 -0.003 0.057 0.091 0.000 0.057 0.706 2.747 645.775 614.303 66.325
0.097 -0.003 0.059 0.106 0.000 0.057 0.714 2.119 662.063 619.715 61.088
0.113 -0.003 0.061 0.123 0.000 0.059 0.706 2.119 634.916 628.735 73.306
0.129 -0.003 0.063 0.141 0.000 0.061 0.707 2.180 642.155 621.519 69.815
0.147 -0.003 0.063 0.161 0.000 0.063 0.703 2.808 634.916 625.127 76.797
0.165 -0.003 0.063 0.181 0.000 0.063 0.705 2.808 649.394 621.519 76.797
0.185 -0.003 0.065 0.202 0.000 0.063 0.709 2.058 636.726 612.499 47.125
0.207 -0.002 0.067 0.223 0.000 0.065 0.702 2.119 636.726 623.323 78.542
0.228 -0.002 0.067 0.244 0.000 0.067 0.707 2.808 649.394 621.519 76.797
0.249 -0.002 0.067 0.266 0.000 0.067 0.708 2.930 636.726 616.107 68.070
0.271 -0.002 0.068 0.287 0.000 0.067 0.707 2.058 636.726 616.107 68.070
0.293 -0.001 0.070 0.308 0.000 0.068 0.705 2.119 634.916 617.911 73.306
0.314 -0.001 0.070 0.329 0.000 0.070 0.695 2.808 622.247 626.931 71.561
0.335 -0.001 0.070 0.351 0.000 0.070 0.700 2.808 642.155 617.911 55.852
0.357 -0.000 0.072 0.372 0.000 0.070 0.690 2.241 620.437 628.735 55.852
0.379 -0.000 0.074 0.393 0.000 0.072 0.698 2.058 629.486 616.107 64.579
0.401 0.000 0.074 0.414 0.000 0.074 0.700 2.808 636.726 623.323 68.070
0.423 0.000 0.076 0.436 0.000 0.074 0.704 2.119 638.535 617.911 59.343
0.445 0.001 0.078 0.457 0.000 0.076 0.708 2.058 631.296 603.480 80.288
0.467 0.001 0.080 0.478 0.000 0.078 0.701 2.058 627.676 625.127 55.852
0.489 0.001 0.080 0.499 0.000 0.080 0.701 2.808 631.296 610.695 73.306
0.511 0.001 0.080 0.521 0.000 0.080 0.703 2.808 642.155 614.303 59.343
0.533 0.002 0.081 0.542 0.000 0.080 0.707 2.058 642.155 614.303 59.343
0.555 0.002 0.083 0.563 0.000 0.081 0.704 2.180 640.345 619.715 57.598
0.577 0.002 0.083 0.584 0.000 0.083 0.707 2.808 631.296 614.303 69.815
0.600 0.002 0.083 0.606 0.000 0.083 0.714 2.869 645.775 607.088 62.834
0.622 0.002 0.085 0.627 0.000 0.083 0.710 2.119 636.726 619.715 71.561
0.644 0.003 0.087 0.648 0.000 0.085 0.710 2.119 643.965 623.323 57.598
0.666 0.003 0.087 0.669 0.000 0.087 0.707 2.869 640.345 630.539 50.616
0.689 0.003 0.089 0.689 0.000 0.087 0.701 2.058 631.296 617.911 66.325
0.710 0.003 0.090 0.709 0.000 0.089 0.705 2.058 642.155 614.303 55.852
0.731 0.003 0.092 0.727 0.000 0.090 0.700 1.997 631.296 628.735 59.343
0.751 0.003 0.092 0.743 0.000 0.092 0.701 2.747 633.106 605.284 54.107
0.769 0.003 0.094 0.758 0.000 0.092 0.706 2.119 636.726 608.891 75.051
0.785 0.003 0.096 0.772 0.000 0.094 0.710 2.119 636.726 608.891 75.051
0.800 0.003 0.098 0.783 0.000 0.096 0.708 2.058 636.726 623.323 68.070
0.813 0.003 0.098 0.794 0.000 0.098 0.709 2.808 640.345 619.715 68.070
0.824 0.003 0.098 0.803 0.000 0.098 0.705 2.808 634.916 625.127 55.852
0.834 0.003 0.100 0.810 0.000 0.098 0.709 2.119 642.155 614.303 55.852
0.842 0.003 0.101 0.815 0.000 0.100 0.711 2.119 649.394 617.911 55.852
0.849 0.003 0.101 0.819 0.000 0.101 0.712 2.869 649.394 621.519 73.306
0.854 0.003 0.101 0.822 0.000 0.101 0.704 2.869 624.057 617.911 69.815
0.857 0.003 0.103 0.823 0.000 0.101 0.702 2.119 627.676 621.519 66.325
0.859 0.003 0.105 0.822 0.000 0.103 0.700 2.058 622.247 623.323 61.088
0.859 0.002 0.105 0.820 0.000 0.105 0.702 2.930 633.106 616.107 57.598
0.858 0.002 0.105 0.817 0.000 0.105 0.703 2.808 642.155 614.303 59.343
0.856 0.003 0.107 0.812 0.000 0.105 0.706 2.058 642.155 614.303 59.343
0.852 0.002 0.109 0.807 0.000 0.107 0.700 2.119 634.916 632.343 66.325
0.851 0.002 0.110 0.852 0.002 0.109 0.708 1.997 667.492 628.735 48.871
0.852 0.003 0.112 0.852 0.002 0.110 0.705 1.936 627.676 614.303 55.852
0.854 0.003 0.114 0.851 0.002 0.112 0.703 2.058 631.296 635.951 62.834
0.855 0.003 0.114 0.850 0.002 0.114 0.706 2.930 645.775 621.519 62.834
0.855 0.003 0.116 0.848 0.002 0.114 0.698 2.241 634.916 635.951 55.852
0.856 0.004 0.118 0.845 0.002 0.116 0.699 1.997 636.726 623.323 64.579
0.855 0.003 0.119 0.841 0.002 0.118 0.692 1.813 636.726 616.107 68.070
0.851 0.003 0.119 0.835 0.002 0.119 0.697 2.808 642.155 625.127 69.815
0.846 0.003 0.121 0.828 0.002 0.119 0.704 2.363 625.867 616.107 71.561
0.840 0.003 0.123 0.820 0.002 0.121 0.699 2.119 642.155 621.519 69.815
0.832 0.003 0.125 0.811 0.002 0.123 0.701 1.997 649.394 621.519 59.343
0.822 0.003 0.125 0.800 0.002 0.125 0.703 2.869 649.394 621.519 59.343
0.812 0.003 0.127 0.788 0.002 0.125 0.709 2.241 647.584 616.107 64.579
0.801 0.003 0.129 0.775 0.002 0.127 0.705 2.058 625.867 608.891 64.579
0.787 0.003 0.130 0.761 0.002 0.129 0.707 1.997 636.726 608.891 68.070
0.772 0.003 0.130 0.745 0.002 0.130 0.712 2.808 651.204 605.284 57.598
0.757 0.003 0.132 0.728 0.002 0.130 0.706 2.119 629.486 626.931 61.088
0.739 0.002 0.134 0.710 0.002 0.132 0.705 2.119 647.584 623.323 54.107
0.720 0.002 0.136 0.691 0.002 0.134 0.703 2.180 636.726 626.931 64.579
0.700 0.002 0.136 0.671 0.002 0.136 0.697 2.747 638.535 628.735 73.306
0.679 0.002 0.138 0.650 0.002 0.136 0.700 2.058 640.345 634.147 64.579
0.656 0.001 0.140 0.629 0.002 0.138 0.702 2.058 631.296 621.519 66.325
0.633 0.001 0.141 0.607 0.002 0.140 0.704 2.119 640.345 630.539 68.070
0.610 0.001 0.141 0.586 0.002 0.141 0.697 2.869 640.345 630.539 68.070
0.587 0.001 0.143 0.565 0.002 0.141 0.702 2.058 656.633 621.519 59.343
0.564 0.001 0.145 0.544 0.001 0.143 0.703 2.058 645.775 625.127 59.343
0.541 0.001 0.147 0.522 0.001 0.145 0.701 2.119 642.155 632.343 66.325
0.518 0.001 0.147 0.501 0.001 0.147 0.703 2.869 645.775 621.519 62.834
0.495 0.001 0.149 0.480 0.001 0.147 0.707 2.058 636.726 612.499 54.107
0.472 0.000 0.150 0.459 0.001 0.149 0.699 1.997 631.296 632.343 69.815
0.448 -0.000 0.152 0.437 0.001 0.150 0.708 2.180 649.394 603.480 73.306
0.425 -0.000 0.152 0.416 0.001 0.152 0.712 2.930 645.775 610.695 66.325
0.402 0.000 0.154 0.395 0.001 0.152 0.699 2.119 620.437 628.735 66.325
0.378 -0.000 0.156 0.374 0.001 0.154 0.701 2.119 645.775 628.735 55.852
0.355 -0.000 0.158 0.352 0.001 0.156 0.708 2.058 642.155 607.088 55.852
0.332 0.000 0.158 0.331 0.001 0.158 0.711 2.869 642.155 607.088 55.852
0.309 0.000 0.160 0.310 0.001 0.158 0.714 2.180 649.394 614.303 69.815
0.285 -0.000 0.161 0.290 0.001 0.160 0.708 2.058 627.676 617.911 73.306
0.262 -0.000 0.163 0.271 0.001 0.161 0.708 2.058 645.775 632.343 55.852
0.240 -0.000 0.163 0.253 0.001 0.163 0.711 2.930 643.965 616.107 71.561
0.220 -0.000 0.165 0.236 0.001 0.163 0.698 2.119 624.057 635.951 69.815
0.200 -0.001 0.167 0.221 0.001 0.165 0.699 2.119 636.726 623.323 54.107
0.183 -0.001 0.169 0.208 0.001 0.167 0.703 2.119 636.726 612.499 71.561
0.167 -0.001 0.169 0.196 0.001 0.169 0.705 2.808 640.345 608.891 54.107
0.154 -0.001 0.171 0.185 0.001 0.169 0.710 2.058 638.535 610.695 66.325
0.142 -0.001 0.172 0.177 0.000 0.171 0.707 2.119 633.106 608.891 54.107
0.131 -0.001 0.174 0.170 0.000 0.172 0.710 2.119 638.535 607.088 59.343
0.123 -0.000 0.174 0.164 0.000 0.174 0.711 2.808 638.535 607.088 59.343
0.116 -0.000 0.176 0.160 0.000 0.174 0.716 2.058 654.824 612.499 68.070
0.110 -0.000 0.178 0.157 0.000 0.176 0.717 2.119 640.345 608.891 61.088
0.107 -0.000 0.180 0.156 0.000 0.178 0.709 2.119 634.916 628.735 69.815
0.104 0.000 0.180 0.157 0.000 0.180 0.710 2.808 638.535 614.303 59.343
0.103 -0.000 0.182 0.159 0.000 0.180 0.709 2.058 649.394 625.127 76.797
0.104 -0.000 0.183 0.163 0.000 0.182 0.705 2.058 631.296 621.519 66.325
0.107 -0.000 0.185 0.167 0.000 0.183 0.707 2.058 640.345 616.107 71.561
0.110 -0.000 0.185 0.172 0.000 0.185 0.710 2.808 638.535 614.303 69.815
0.115 -0.000 0.187 0.177 0.000 0.185 0.710 2.058 636.726 608.891 64.579
0.115 -0.000 0.187 0.115 -0.000 0.187 0.707 2.869 629.486 626.931 47.125
0.114 -0.001 0.189 0.115 -0.000 0.187 0.707 2.180 640.345 619.715 61.088
0.112 -0.001 0.191 0.115 -0.000 0.189 0.703 2.180 631.296 617.911 45.380
0.110 -0.001 0.193 0.116 -0.000 0.191 0.696 2.058 627.676 625.127 66.325
0.109 -0.001 0.193 0.118 -0.000 0.193 0.694 2.747 642.155 614.303 62.834
0.107 -0.002 0.194 0.121 -0.000 0.193 0.698 1.936 653.014 617.911 55.852
0.107 -0.001 0.196 0.126 -0.000 0.194 0.703 1.997 640.345 601.676 57.598
0.110 -0.001 0.198 0.131 -0.000 0.196 0.700 1.936 620.437 617.911 62.834
