x_est y_est heading_est x_ref y_ref heading_ref magdwick gyro mag_x mag_y mag_z
0.000 0.000 0.034 0.000 0.000 0.000 0.902 2.686 877.430 235.473 41.889
-0.001 0.001 0.035 0.000 0.000 0.034 0.931 1.875 879.240 269.748 36.653
-0.003 0.002 0.038 0.000 0.000 0.035 0.956 2.363 895.528 257.121 38.398
-0.002 0.002 0.039 0.001 0.000 0.038 0.979 1.936 868.381 255.317 29.672
-0.001 0.002 0.039 0.003 0.000 0.039 1.003 2.563 879.240 233.669 50.616
0.001 0.002 0.041 0.005 0.000 0.039 1.025 2.119 895.528 246.297 6.982
0.005 0.002 0.043 0.008 0.000 0.041 1.043 1.936 875.620 237.277 47.125
0.011 0.000 0.044 0.011 0.000 0.043 1.062 1.752 875.620 237.277 47.125
0.016 -0.000 0.044 0.015 0.000 0.044 1.076 2.808 897.338 266.140 43.635
0.020 -0.000 0.046 0.019 0.000 0.044 1.090 1.691 884.669 249.905 34.908
0.025 -0.001 0.047 0.023 0.000 0.046 1.102 1.875 877.430 253.513 31.417
0.031 -0.002 0.049 0.026 0.000 0.047 1.113 1.875 881.050 257.121 55.852
0.034 -0.002 0.049 0.030 0.000 0.049 1.123 2.625 895.528 242.689 31.417
0.038 -0.001 0.051 0.034 0.000 0.049 1.132 1.936 879.240 251.709 47.125
0.043 -0.002 0.052 0.038 0.000 0.051 1.137 1.997 877.430 260.729 34.908
0.047 -0.002 0.054 0.041 0.000 0.052 1.143 2.058 891.909 253.513 45.380
0.050 -0.002 0.054 0.045 0.000 0.054 1.147 2.563 882.860 266.140 40.144
0.054 -0.001 0.056 0.049 0.000 0.054 1.152 1.936 884.669 249.905 52.361
0.058 -0.002 0.058 0.053 0.000 0.056 1.155 1.936 868.381 255.317 43.635
0.061 -0.002 0.059 0.056 0.000 0.058 1.158 1.875 868.381 255.317 43.635
0.064 -0.001 0.059 0.060 0.000 0.059 1.162 2.808 881.050 246.297 38.398
0.068 -0.001 0.061 0.064 0.000 0.059 1.165 1.875 875.620 248.101 47.125
0.072 -0.002 0.063 0.068 0.000 0.061 1.168 1.997 873.811 246.297 34.908
0.075 -0.001 0.064 0.071 0.000 0.063 1.168 1.813 884.669 267.944 20.945
0.079 -0.001 0.064 0.075 0.000 0.064 1.169 2.686 872.001 251.709 61.088
0.082 -0.001 0.066 0.079 0.000 0.064 1.171 1.936 875.620 248.101 47.125
0.086 -0.001 0.068 0.083 0.000 0.066 1.174 1.936 886.479 244.493 29.672
0.089 -0.001 0.069 0.086 0.000 0.068 1.174 1.936 877.430 257.121 41.889
0.093 -0.001 0.069 0.090 0.000 0.069 1.174 2.625 877.430 253.513 48.871
0.097 -0.001 0.071 0.094 0.000 0.069 1.176 2.119 872.001 248.101 40.144
0.100 -0.001 0.073 0.098 0.000 0.071 1.176 1.752 882.860 251.709 40.144
0.104 -0.001 0.074 0.101 0.000 0.073 1.177 2.058 882.860 251.709 40.144
0.107 -0.001 0.074 0.105 0.000 0.074 1.177 2.502 882.860 255.317 50.616
0.111 -0.001 0.076 0.109 0.000 0.074 1.178 2.058 877.430 249.905 27.926
0.114 -0.001 0.078 0.113 0.000 0.076 1.178 1.936 879.240 251.709 40.144
0.118 -0.000 0.080 0.116 0.000 0.078 1.179 1.997 873.811 246.297 38.398
0.122 -0.001 0.080 0.120 0.000 0.080 1.180 2.563 893.719 251.709 29.672
0.125 -0.000 0.081 0.124 0.000 0.080 1.178 1.936 895.528 264.336 34.908
0.129 -0.000 0.083 0.128 0.000 0.081 1.179 1.752 868.381 248.101 36.653
0.133 -0.000 0.085 0.131 0.000 0.083 1.179 1.997 875.620 251.709 43.635
0.136 -0.000 0.085 0.135 0.000 0.085 1.178 2.686 875.620 255.317 40.144
0.139 0.000 0.086 0.139 0.000 0.085 1.178 1.997 861.142 251.709 33.162
0.143 0.000 0.088 0.143 0.000 0.086 1.178 1.936 864.762 248.101 29.672
0.147 0.000 0.090 0.146 0.000 0.088 1.178 1.997 864.762 248.101 29.672
0.151 0.000 0.090 0.150 0.000 0.090 1.178 2.686 884.669 257.121 34.908
0.154 0.001 0.092 0.154 0.000 0.090 1.179 1.936 884.669 249.905 48.871
0.158 0.001 0.093 0.158 0.000 0.092 1.180 1.936 881.050 246.297 41.889
0.162 0.001 0.095 0.161 0.000 0.093 1.178 1.936 868.381 258.925 40.144
0.165 0.001 0.095 0.165 0.000 0.095 1.179 2.686 886.479 251.709 47.125
0.169 0.001 0.097 0.169 0.000 0.095 1.179 1.936 877.430 253.513 41.889
0.173 0.001 0.098 0.173 0.000 0.097 1.179 1.936 881.050 253.513 41.889
0.176 0.001 0.100 0.176 0.000 0.098 1.179 1.875 881.050 249.905 45.380
0.180 0.001 0.100 0.180 0.000 0.100 1.177 2.747 882.860 266.140 43.635
0.184 0.001 0.102 0.184 0.000 0.100 1.176 1.936 873.811 260.729 41.889
0.187 0.001 0.103 0.188 0.000 0.102 1.178 1.813 888.289 246.297 41.889
0.191 0.001 0.105 0.191 0.000 0.103 1.179 2.058 888.289 246.297 41.889
0.195 0.001 0.105 0.195 0.000 0.105 1.181 2.747 873.811 242.689 55.852
0.198 0.001 0.107 0.199 0.000 0.105 1.182 1.813 884.669 246.297 52.361
0.202 0.001 0.108 0.203 0.000 0.107 1.184 2.058 879.240 233.669 40.144
0.206 0.001 0.110 0.206 0.000 0.108 1.186 1.875 879.240 237.277 29.672
0.209 0.000 0.110 0.210 0.000 0.110 1.187 2.686 879.240 240.885 40.144
0.213 0.000 0.112 0.214 0.000 0.110 1.184 1.875 884.669 260.729 34.908
0.217 0.001 0.113 0.217 0.000 0.112 1.183 1.875 877.430 253.513 45.380
0.220 0.001 0.115 0.221 0.000 0.113 1.182 1.936 872.001 251.709 50.616
0.224 0.001 0.115 0.225 0.000 0.115 1.183 2.625 893.719 251.709 26.181
0.228 0.001 0.117 0.229 0.000 0.115 1.183 1.936 893.719 251.709 43.635
0.231 0.001 0.118 0.232 0.000 0.117 1.185 1.936 873.811 235.473 59.343
0.235 0.001 0.120 0.236 0.000 0.118 1.186 1.875 873.811 235.473 59.343
0.239 0.001 0.120 0.240 0.000 0.120 1.188 2.686 888.289 239.081 41.889
0.243 0.001 0.122 0.244 0.000 0.120 1.187 1.936 873.811 249.905 34.908
0.247 0.001 0.123 0.247 0.000 0.122 1.186 1.875 873.811 246.297 34.908
0.251 0.001 0.125 0.251 0.000 0.123 1.185 1.936 897.338 258.925 36.653
0.254 0.001 0.125 0.255 0.000 0.125 1.183 2.747 866.571 253.513 34.908
0.258 0.001 0.127 0.259 0.000 0.125 1.184 1.997 891.909 249.905 41.889
