x_est y_est heading_est x_ref y_ref heading_ref magdwick gyro mag_x mag_y mag_z
0.852 0.003 0.133 0.813 0.001 0.130 1.436 3.156 636.726 17.195 92.505
0.840 0.003 0.135 0.805 0.001 0.133 1.437 3.034 658.443 -0.845 85.524
0.831 0.003 0.135 0.795 0.001 0.135 1.438 1.831 645.775 4.567 87.269
0.822 0.002 0.137 0.785 0.001 0.135 1.437 1.691 634.916 18.999 80.288
0.809 0.002 0.140 0.773 0.001 0.137 1.437 3.095 649.394 8.175 101.232
0.795 0.001 0.142 0.760 0.001 0.140 1.435 2.363 642.155 11.783 101.232
0.781 0.001 0.142 0.745 0.001 0.142 1.435 1.770 633.106 13.587 85.524
0.766 0.001 0.142 0.730 0.001 0.142 1.437 2.136 638.535 0.959 94.251
0.747 0.000 0.145 0.713 0.001 0.142 1.437 3.278 656.633 4.567 101.232
0.728 -0.000 0.147 0.695 0.001 0.145 1.436 2.485 656.633 4.567 101.232
0.710 0.000 0.147 0.675 0.001 0.147 1.436 1.221 647.584 20.803 82.033
0.690 -0.000 0.147 0.655 0.001 0.147 1.437 2.075 645.775 8.175 101.232
0.667 -0.001 0.150 0.634 0.001 0.147 1.437 3.217 654.824 -0.845 89.015
0.643 -0.001 0.152 0.613 0.001 0.150 1.437 2.424 643.965 6.371 85.524
0.622 -0.000 0.152 0.592 0.001 0.152 1.435 1.404 640.345 24.411 75.051
0.600 -0.000 0.152 0.570 0.001 0.152 1.434 2.441 645.775 18.999 90.760
0.576 -0.001 0.154 0.549 0.001 0.152 1.433 3.217 660.253 15.391 104.723
0.552 -0.001 0.156 0.528 0.001 0.154 1.434 2.119 651.204 6.371 85.524
0.532 -0.001 0.156 0.507 0.001 0.156 1.435 1.160 640.345 17.195 78.542
0.510 -0.001 0.156 0.485 0.001 0.156 1.434 2.380 624.057 15.391 90.760
0.487 -0.002 0.159 0.464 0.001 0.156 1.433 2.973 642.155 11.783 101.232
0.464 -0.002 0.161 0.443 0.001 0.159 1.433 2.119 642.155 11.783 101.232
0.443 -0.001 0.161 0.422 0.001 0.161 1.434 1.221 633.106 13.587 85.524
0.421 -0.001 0.161 0.400 0.001 0.161 1.432 2.686 654.824 20.803 95.996
0.398 -0.001 0.164 0.379 0.001 0.161 1.434 3.156 649.394 -6.256 87.269
0.375 -0.001 0.165 0.358 0.001 0.164 1.435 1.936 634.916 8.175 97.741
0.354 -0.001 0.165 0.337 0.001 0.165 1.435 1.404 640.345 17.195 82.033
0.332 -0.001 0.165 0.316 0.000 0.165 1.436 2.563 643.965 6.371 92.505
0.308 -0.001 0.168 0.296 0.000 0.165 1.435 2.790 651.204 9.979 102.978
0.286 -0.002 0.170 0.276 0.000 0.168 1.434 2.180 634.916 11.783 90.760
0.267 -0.001 0.170 0.258 0.000 0.170 1.434 1.709 633.106 13.587 85.524
0.248 -0.001 0.170 0.242 0.000 0.170 1.435 2.441 636.726 6.371 89.015
0.228 -0.002 0.172 0.227 0.000 0.170 1.432 3.034 674.732 22.607 97.741
0.212 -0.001 0.174 0.213 0.000 0.172 1.430 1.997 674.732 22.607 97.741
0.200 -0.001 0.175 0.201 0.000 0.174 1.432 0.776 625.867 9.979 75.051
0.188 -0.002 0.175 0.191 0.000 0.175 1.433 3.174 642.155 0.959 108.214
0.175 -0.002 0.177 0.182 0.000 0.175 1.433 2.973 660.253 8.175 87.269
0.166 -0.002 0.179 0.175 0.000 0.177 1.435 1.630 645.775 4.567 90.760
0.160 -0.001 0.180 0.169 0.000 0.179 1.435 1.142 634.916 11.783 66.325
0.153 -0.002 0.180 0.165 0.000 0.180 1.437 2.991 645.775 0.959 90.760
0.146 -0.002 0.182 0.163 0.000 0.180 1.435 2.424 656.633 18.999 73.306
0.144 -0.001 0.183 0.162 0.000 0.182 1.435 1.325 645.775 8.175 97.741
0.144 -0.001 0.185 0.163 0.000 0.183 1.435 1.875 649.394 11.783 108.214
0.143 -0.002 0.185 0.165 0.000 0.185 1.436 3.540 651.204 2.763 99.487
0.143 -0.002 0.186 0.168 0.000 0.185 1.431 2.241 656.633 33.430 87.269
0.147 -0.001 0.187 0.172 0.000 0.186 1.431 0.898 640.345 17.195 92.505
0.152 -0.001 0.189 0.177 0.000 0.187 1.430 2.180 631.296 18.999 90.760
0.156 -0.002 0.189 0.183 0.000 0.189 1.430 3.357 660.253 8.175 87.269
0.157 -0.002 0.190 0.156 -0.002 0.189 1.428 1.264 645.775 33.430 83.778
0.158 -0.002 0.190 0.156 -0.002 0.190 1.428 3.357 636.726 13.587 85.524
