x_est y_est heading_est x_ref y_ref heading_ref magdwick gyro mag_x mag_y mag_z
1.021 0.001 0.126 1.015 0.001 0.124 1.180 1.997 868.381 251.709 40.144
1.021 0.001 0.127 1.013 0.001 0.126 1.181 1.875 881.050 246.297 24.435
1.022 0.001 0.127 1.010 0.001 0.127 1.182 2.808 866.571 242.689 34.908
1.020 0.002 0.129 1.006 0.001 0.127 1.182 1.936 866.571 242.689 34.908
1.016 0.002 0.131 1.000 0.001 0.129 1.183 1.936 897.338 244.493 36.653
1.010 0.002 0.132 0.993 0.001 0.131 1.184 1.997 875.620 244.493 33.162
1.004 0.002 0.132 0.985 0.001 0.132 1.184 2.502 886.479 244.493 43.635
0.996 0.002 0.134 0.976 0.001 0.132 1.184 2.119 884.669 253.513 38.398
0.986 0.002 0.136 0.965 0.001 0.134 1.184 1.813 875.620 240.885 26.181
0.975 0.002 0.138 0.953 0.001 0.136 1.184 2.119 879.240 251.709 54.107
0.964 0.002 0.138 0.940 0.001 0.138 1.183 2.563 879.240 251.709 33.162
0.950 0.002 0.139 0.926 0.001 0.138 1.181 1.936 870.191 257.121 52.361
0.935 0.002 0.141 0.910 0.001 0.139 1.182 2.058 881.050 242.689 38.398
0.919 0.002 0.143 0.893 0.001 0.141 1.181 1.875 873.811 257.121 31.417
0.902 0.002 0.143 0.875 0.001 0.143 1.183 2.625 881.050 239.081 48.871
0.883 0.002 0.145 0.856 0.001 0.143 1.184 1.936 881.050 239.081 48.871
0.863 0.002 0.146 0.835 0.001 0.145 1.184 1.997 886.479 255.317 43.635
0.842 0.001 0.148 0.814 0.001 0.146 1.184 1.813 884.669 246.297 45.380
0.819 0.001 0.148 0.792 0.001 0.148 1.184 2.747 890.099 251.709 29.672
0.796 0.001 0.150 0.769 0.001 0.148 1.183 1.936 884.669 253.513 48.871
0.772 0.001 0.151 0.747 0.001 0.150 1.183 1.936 888.289 253.513 45.380
0.748 0.001 0.153 0.724 0.001 0.151 1.180 2.058 875.620 266.140 43.635
0.725 0.001 0.153 0.702 0.001 0.153 1.180 2.808 872.001 248.101 26.181
0.701 0.001 0.155 0.679 0.001 0.153 1.181 1.813 877.430 242.689 48.871
0.678 0.001 0.156 0.657 0.001 0.155 1.180 1.997 884.669 257.121 34.908
0.654 0.001 0.158 0.634 0.001 0.156 1.181 2.058 879.240 244.493 43.635
0.631 0.001 0.158 0.612 0.001 0.158 1.182 2.686 888.289 246.297 20.945
0.607 0.000 0.160 0.589 0.001 0.158 1.183 1.936 891.909 246.297 31.417
0.583 0.000 0.162 0.567 0.001 0.160 1.183 1.936 875.620 251.709 40.144
0.559 0.000 0.163 0.544 0.001 0.162 1.182 2.058 886.479 255.317 40.144
0.535 0.000 0.163 0.522 0.001 0.163 1.182 2.686 888.289 253.513 45.380
0.512 0.000 0.165 0.499 0.001 0.163 1.180 2.058 875.620 258.925 50.616
0.487 -0.001 0.167 0.477 0.001 0.165 1.180 1.936 890.099 251.709 40.144
0.464 -0.001 0.168 0.454 0.000 0.167 1.180 1.630 870.191 246.297 24.435
0.441 -0.000 0.168 0.432 0.000 0.168 1.180 2.686 881.050 257.121 41.889
0.417 -0.000 0.170 0.409 0.000 0.168 1.181 1.936 888.289 242.689 38.398
0.393 -0.001 0.172 0.387 0.000 0.170 1.180 2.241 884.669 257.121 34.908
0.370 -0.000 0.173 0.364 0.000 0.172 1.179 1.752 875.620 255.317 40.144
0.347 -0.000 0.173 0.342 0.000 0.173 1.178 2.686 877.430 260.729 55.852
0.323 -0.001 0.175 0.319 0.000 0.173 1.178 1.997 895.528 257.121 34.908
0.300 -0.001 0.177 0.297 0.000 0.175 1.178 1.997 873.811 249.905 34.908
0.277 -0.000 0.179 0.274 0.000 0.177 1.177 1.875 881.050 260.729 34.908
0.254 -0.000 0.179 0.252 0.000 0.179 1.177 2.747 888.289 260.729 34.908
0.231 -0.000 0.180 0.230 0.000 0.179 1.179 2.058 890.099 244.493 33.162
0.208 -0.000 0.182 0.208 0.000 0.180 1.180 2.058 882.860 244.493 36.653
0.185 -0.000 0.184 0.187 0.000 0.182 1.180 1.875 872.001 248.101 40.144
0.162 -0.000 0.184 0.168 0.000 0.184 1.180 2.747 873.811 253.513 41.889
0.140 -0.001 0.185 0.150 0.000 0.184 1.181 1.875 890.099 248.101 36.653
0.120 -0.001 0.187 0.133 0.000 0.185 1.181 1.936 879.240 251.709 29.672
