x_est y_est heading_est x_ref y_ref heading_ref magdwick gyro mag_x mag_y mag_z
0.733 0.000 0.115 0.731 0.000 0.115 1.178 2.808 872.001 258.925 40.144
0.745 0.001 0.117 0.743 0.000 0.115 1.179 2.180 891.909 249.905 38.398
0.756 0.001 0.119 0.754 0.000 0.117 1.179 2.119 882.860 255.317 36.653
0.767 0.001 0.119 0.765 0.000 0.119 1.177 2.930 882.860 262.533 40.144
0.779 0.001 0.119 0.776 0.000 0.119 1.178 2.747 873.811 246.297 38.398
0.790 0.001 0.121 0.788 0.000 0.119 1.178 2.180 890.099 255.317 33.162
0.801 0.001 0.122 0.799 0.000 0.121 1.178 2.058 890.099 255.317 33.162
0.812 0.001 0.124 0.810 0.000 0.122 1.178 2.119 902.768 257.121 48.871
0.823 0.001 0.124 0.821 0.000 0.124 1.176 2.930 879.240 266.140 40.144
0.835 0.001 0.126 0.833 0.000 0.124 1.175 2.058 870.191 257.121 38.398
0.846 0.000 0.128 0.844 0.000 0.126 1.175 2.058 882.860 255.317 40.144
0.857 0.000 0.130 0.854 0.000 0.128 1.176 2.119 884.669 253.513 38.398
0.868 0.000 0.130 0.864 0.000 0.130 1.173 2.869 870.191 267.944 38.398
0.878 -0.000 0.131 0.872 0.000 0.130 1.174 2.119 879.240 255.317 47.125
0.887 -0.000 0.133 0.880 0.000 0.131 1.174 2.058 884.669 253.513 27.926
0.895 0.000 0.135 0.886 0.000 0.133 1.173 2.180 868.381 262.533 47.125
0.901 -0.000 0.135 0.891 0.000 0.135 1.173 2.808 877.430 253.513 38.398
0.906 -0.000 0.137 0.895 0.000 0.135 1.173 2.058 888.289 260.729 38.398
0.910 0.000 0.139 0.898 0.000 0.137 1.175 2.058 870.191 246.297 41.889
0.912 0.000 0.141 0.899 0.000 0.139 1.174 2.058 890.099 262.533 33.162
0.914 0.000 0.141 0.900 0.000 0.141 1.175 2.869 875.620 248.101 57.598
0.915 0.000 0.142 0.900 0.000 0.141 1.175 2.058 881.050 257.121 34.908
0.915 0.000 0.144 0.915 0.000 0.142 1.175 2.058 879.240 255.317 43.635
0.916 0.000 0.146 0.915 0.000 0.144 1.176 2.058 882.860 255.317 57.598
0.917 -0.000 0.146 0.914 0.000 0.146 1.175 2.808 877.430 257.121 41.889
0.918 -0.000 0.146 0.913 0.000 0.146 1.175 2.869 875.620 251.709 33.162
0.918 0.000 0.148 0.910 0.000 0.146 1.178 2.119 890.099 240.885 29.672
0.918 0.000 0.150 0.906 0.000 0.148 1.176 2.058 853.903 255.317 43.635
0.915 0.000 0.150 0.901 0.000 0.150 1.176 2.686 881.050 257.121 41.889
0.910 0.000 0.150 0.895 0.000 0.150 1.176 2.869 881.050 257.121 41.889
0.905 0.001 0.151 0.887 0.000 0.150 1.177 1.997 882.860 248.101 40.144
0.898 0.001 0.153 0.879 0.000 0.151 1.177 2.180 877.430 253.513 45.380
0.889 0.001 0.153 0.869 0.000 0.153 1.177 2.747 877.430 249.905 34.908
0.880 0.001 0.153 0.859 0.000 0.153 1.178 2.930 886.479 248.101 29.672
0.869 0.001 0.155 0.848 0.000 0.153 1.177 1.997 888.289 264.336 48.871
0.857 0.001 0.157 0.836 0.000 0.155 1.176 2.058 870.191 257.121 45.380
0.845 0.001 0.157 0.825 0.000 0.157 1.176 2.869 879.240 255.317 36.653
0.833 0.001 0.157 0.814 0.000 0.157 1.173 2.747 881.050 271.552 38.398
0.821 0.001 0.159 0.803 0.000 0.157 1.174 1.997 866.571 249.905 45.380
0.809 0.000 0.160 0.791 0.000 0.159 1.172 2.119 899.148 275.160 38.398
0.797 0.000 0.162 0.780 0.000 0.160 1.171 2.058 877.430 260.729 38.398
0.785 0.000 0.162 0.769 0.000 0.162 1.174 2.808 866.571 239.081 34.908
0.774 -0.000 0.164 0.758 0.000 0.162 1.173 2.180 873.811 260.729 41.889
0.761 -0.000 0.166 0.746 0.000 0.164 1.174 1.997 877.430 253.513 38.398
0.749 -0.000 0.168 0.735 0.000 0.166 1.174 2.180 868.381 251.709 57.598
0.737 -0.000 0.168 0.724 0.000 0.168 1.173 2.747 872.001 262.533 43.635
0.725 -0.000 0.170 0.713 0.000 0.168 1.171 2.119 873.811 264.336 34.908
0.713 -0.000 0.171 0.701 0.000 0.170 1.172 2.058 875.620 255.317 47.125
0.701 -0.000 0.173 0.690 0.000 0.171 1.171 2.058 873.811 260.729 38.398
0.689 0.000 0.173 0.679 0.000 0.173 1.173 2.686 897.338 251.709 22.690
0.677 0.000 0.175 0.668 0.000 0.173 1.174 2.058 877.430 249.905 31.417
