index,x_est,x_ref
1,0.000,0.000
2,0.002,0.000
3,0.006,0.000
4,0.008,0.001
5,0.010,0.003
6,0.014,0.006
7,0.018,0.011
8,0.020,0.016
9,0.025,0.023
10,0.033,0.031
11,0.041,0.041
12,0.049,0.051
13,0.059,0.063
14,0.072,0.076
15,0.084,0.091
16,0.097,0.106
17,0.113,0.123
18,0.129,0.141
19,0.147,0.161
20,0.165,0.181
21,0.185,0.202
22,0.207,0.223
23,0.228,0.244
24,0.249,0.266
25,0.271,0.287
26,0.293,0.308
27,0.314,0.329
28,0.335,0.351
29,0.357,0.372
30,0.379,0.393
31,0.401,0.414
32,0.423,0.436
33,0.445,0.457
34,0.467,0.478
35,0.489,0.499
36,0.511,0.521
37,0.533,0.542
38,0.555,0.563
39,0.577,0.584
40,0.600,0.606
41,0.622,0.627
42,0.644,0.648
43,0.666,0.669
44,0.689,0.689
45,0.710,0.709
46,0.731,0.727
47,0.751,0.743
48,0.769,0.758
49,0.785,0.772
50,0.800,0.783
51,0.813,0.794
52,0.824,0.803
53,0.834,0.810
54,0.842,0.815
55,0.849,0.819
56,0.854,0.822
57,0.857,0.823
58,0.859,0.822
59,0.859,0.820
60,0.858,0.817
61,0.856,0.812
62,0.852,0.807
63,0.851,0.852
64,0.852,0.852
65,0.854,0.851
66,0.855,0.850
67,0.855,0.848
68,0.856,0.845
69,0.855,0.841
70,0.851,0.835
71,0.846,0.828
72,0.840,0.820
73,0.832,0.811
74,0.822,0.800
75,0.812,0.788
76,0.801,0.775
77,0.787,0.761
78,0.772,0.745
79,0.757,0.728
80,0.739,0.710
81,0.720,0.691
82,0.700,0.671
83,0.679,0.650
84,0.656,0.629
85,0.633,0.607
86,0.610,0.586
87,0.587,0.565
88,0.564,0.544
89,0.541,0.522
90,0.518,0.501
91,0.495,0.480
92,0.472,0.459
93,0.448,0.437
94,0.425,0.416
95,0.402,0.395
96,0.378,0.374
97,0.355,0.352
98,0.332,0.331
99,0.309,0.310
100,0.285,0.290
101,0.262,0.271
102,0.240,0.253
103,0.220,0.236
104,0.200,0.221
105,0.183,0.208
106,0.167,0.196
107,0.154,0.185
108,0.142,0.177
109,0.131,0.170
110,0.123,0.164
111,0.116,0.160
112,0.110,0.157
113,0.107,0.156
114,0.104,0.157
115,0.103,0.159
116,0.104,0.163
117,0.107,0.167
118,0.110,0.172
119,0.115,0.177
120,0.115,0.115
121,0.114,0.115
122,0.112,0.115
123,0.110,0.116
124,0.109,0.118
125,0.107,0.121
126,0.107,0.126
127,0.110,0.131
128,0.113,0.138
129,0.117,0.146
130,0.125,0.156
131,0.134,0.166
132,0.142,0.178
133,0.153,0.191
134,0.168,0.206
135,0.182,0.221
136,0.195,0.238
137,0.212,0.256
138,0.231,0.276
139,0.250,0.296
140,0.269,0.317
141,0.292,0.338
142,0.316,0.359
143,0.339,0.381
144,0.362,0.402
145,0.387,0.423
146,0.411,0.444
147,0.435,0.466
148,0.458,0.487
149,0.482,0.508
150,0.507,0.529
151,0.531,0.551
152,0.555,0.572
153,0.579,0.593
154,0.604,0.614
155,0.628,0.636
156,0.652,0.657
157,0.677,0.678
158,0.701,0.699
159,0.725,0.721
160,0.750,0.742
161,0.774,0.763
162,0.798,0.784
163,0.821,0.806
164,0.845,0.827
165,0.869,0.848
166,0.892,0.869
167,0.916,0.891
168,0.939,0.912
169,0.963,0.933
170,0.986,0.954
171,1.009,0.976
172,1.031,0.997
173,1.054,1.018
174,1.076,1.039
175,1.099,1.061
176,1.121,1.082
177,1.143,1.103
178,1.165,1.124
179,1.187,1.146
180,1.208,1.167
181,1.230,1.188
182,1.251,1.209
183,1.272,1.231
184,1.294,1.252
185,1.315,1.273
186,1.335,1.294
187,1.356,1.316
188,1.377,1.337
189,1.397,1.358
190,1.418,1.379
191,1.438,1.401
192,1.458,1.422
193,1.478,1.443
194,1.498,1.464
195,1.518,1.486
196,1.538,1.507
197,1.558,1.528
198,1.578,1.548
199,1.598,1.567
200,1.617,1.585
201,1.635,1.602
202,1.652,1.617
203,1.668,1.630
204,1.682,1.642
205,1.693,1.653
206,1.704,1.661
207,1.712,1.668
208,1.719,1.674
209,1.724,1.678
210,1.728,1.681
211,1.730,1.682
212,1.731,1.681
213,1.730,1.679
214,1.728,1.675
215,1.724,1.671
216,1.718,1.666
217,1.711,1.661
