x_est y_est heading_est x_ref y_ref heading_ref magdwick gyro mag_x mag_y mag_z
0.843 0.004 0.131 0.823 0.002 0.129 0.696 1.936 627.676 617.911 52.361
0.835 0.003 0.132 0.814 0.002 0.131 0.702 1.936 636.726 616.107 68.070
0.825 0.003 0.132 0.803 0.002 0.132 0.702 2.747 633.106 616.107 71.561
0.815 0.003 0.134 0.791 0.002 0.132 0.706 1.997 640.345 619.715 68.070
0.804 0.003 0.136 0.778 0.002 0.134 0.704 1.936 640.345 623.323 50.616
0.790 0.002 0.137 0.764 0.002 0.136 0.707 1.997 640.345 623.323 50.616
0.775 0.002 0.137 0.748 0.002 0.137 0.699 2.808 640.345 630.539 64.579
0.760 0.003 0.139 0.731 0.002 0.137 0.696 2.058 634.916 635.951 59.343
0.743 0.002 0.141 0.713 0.002 0.139 0.698 1.997 642.155 617.911 66.325
0.724 0.002 0.143 0.694 0.002 0.141 0.702 1.936 622.247 612.499 75.051
0.703 0.002 0.143 0.674 0.002 0.143 0.705 2.747 633.106 608.891 64.579
0.682 0.002 0.144 0.653 0.002 0.143 0.706 1.997 649.394 617.911 66.325
0.660 0.001 0.146 0.631 0.002 0.144 0.708 1.813 634.916 625.127 66.325
0.636 0.001 0.148 0.610 0.002 0.146 0.702 2.058 631.296 621.519 62.834
0.613 0.001 0.148 0.589 0.002 0.148 0.702 2.808 636.726 608.891 61.088
0.590 0.001 0.149 0.568 0.001 0.148 0.706 1.936 647.584 616.107 64.579
0.567 0.000 0.151 0.546 0.001 0.149 0.704 1.997 634.916 625.127 62.834
0.544 0.000 0.153 0.525 0.001 0.151 0.702 1.997 634.916 625.127 62.834
0.521 0.000 0.153 0.504 0.001 0.153 0.699 2.686 642.155 628.735 59.343
0.498 0.000 0.155 0.483 0.001 0.153 0.705 2.058 640.345 619.715 71.561
0.475 0.000 0.156 0.461 0.001 0.155 0.703 1.997 643.965 623.323 54.107
0.451 -0.000 0.158 0.440 0.001 0.156 0.700 1.936 634.916 617.911 66.325
0.428 -0.001 0.158 0.419 0.001 0.158 0.707 2.747 645.775 617.911 69.815
0.404 -0.001 0.158 0.398 0.001 0.158 0.708 2.808 629.486 612.499 64.579
0.381 -0.001 0.160 0.376 0.001 0.158 0.704 2.058 643.965 623.323 61.088
0.357 -0.001 0.162 0.355 0.001 0.160 0.711 1.997 651.204 619.715 68.070
0.334 -0.001 0.162 0.334 0.001 0.162 0.702 2.747 627.676 621.519 62.834
0.311 -0.001 0.162 0.313 0.001 0.162 0.700 2.808 653.014 635.951 59.343
0.286 -0.003 0.163 0.293 0.001 0.162 0.708 1.936 663.873 614.303 48.871
0.263 -0.003 0.165 0.274 0.001 0.163 0.706 2.058 663.873 614.303 48.871
0.242 -0.003 0.165 0.255 0.001 0.165 0.713 2.930 638.535 599.872 66.325
0.221 -0.004 0.167 0.239 0.001 0.165 0.719 1.875 654.824 612.499 75.051
0.201 -0.005 0.168 0.224 0.001 0.167 0.711 1.691 634.916 621.519 73.306
0.185 -0.003 0.170 0.210 0.001 0.168 0.716 2.241 633.106 608.891 54.107
0.170 -0.002 0.170 0.199 0.001 0.170 0.714 2.747 651.204 623.323 61.088
0.156 -0.003 0.172 0.188 0.000 0.170 0.713 1.997 658.443 616.107 54.107
0.145 -0.003 0.174 0.180 0.000 0.172 0.703 2.058 629.486 626.931 57.598
0.136 -0.002 0.176 0.172 0.000 0.174 0.708 1.997 636.726 605.284 64.579
0.127 -0.001 0.176 0.167 0.000 0.176 0.716 2.808 643.965 601.676 71.561
0.120 -0.002 0.176 0.163 0.000 0.176 0.707 2.747 631.296 625.127 62.834
0.116 -0.001 0.177 0.160 0.000 0.176 0.704 2.058 627.676 614.303 52.361
0.113 -0.000 0.179 0.159 0.000 0.177 0.703 1.997 627.676 614.303 52.361
0.111 -0.000 0.179 0.160 0.000 0.179 0.705 2.747 640.345 616.107 61.088
0.110 -0.000 0.179 0.162 0.000 0.179 0.706 2.808 647.584 619.715 78.542
0.112 0.001 0.181 0.165 0.000 0.179 0.708 2.058 634.916 610.695 69.815
0.115 0.001 0.183 0.170 0.000 0.181 0.706 1.997 636.726 626.931 71.561
0.119 0.001 0.183 0.175 0.000 0.183 0.703 2.808 625.867 619.715 64.579
0.125 0.001 0.184 0.180 0.000 0.183 0.700 1.997 634.916 635.951 66.325
0.126 0.001 0.186 0.125 0.001 0.184 0.697 2.058 629.486 623.323 29.672
0.125 0.001 0.186 0.125 0.001 0.186 0.701 2.808 638.535 614.303 66.325
0.123 -0.000 0.188 0.125 0.001 0.186 0.695 1.997 636.726 623.323 33.162
0.121 -0.000 0.190 0.126 0.001 0.188 0.697 1.997 642.155 607.088 62.834
0.121 -0.000 0.192 0.128 0.001 0.190 0.701 2.363 643.965 619.715 78.542
