x_est y_est heading_est x_ref y_ref heading_ref magdwick gyro mag_x mag_y mag_z
0.796 0.002 0.115 0.790 0.001 0.113 0.698 1.997 629.486 623.323 75.051
0.787 0.001 0.116 0.782 0.001 0.115 0.697 1.997 638.535 628.735 52.361
0.777 0.001 0.118 0.772 0.001 0.116 0.695 2.302 642.155 632.343 62.834
0.765 0.001 0.118 0.762 0.001 0.118 0.699 2.930 640.345 623.323 71.561
0.753 0.000 0.120 0.750 0.001 0.118 0.709 2.058 662.063 623.323 71.561
0.742 0.001 0.122 0.737 0.001 0.120 0.699 2.058 629.486 634.147 64.579
0.730 0.001 0.124 0.722 0.001 0.122 0.699 2.058 634.916 621.519 52.361
0.714 0.002 0.124 0.707 0.001 0.124 0.697 2.808 638.535 625.127 66.325
0.696 0.002 0.126 0.690 0.001 0.124 0.702 2.058 643.965 612.499 71.561
0.677 0.001 0.127 0.672 0.001 0.126 0.702 2.058 638.535 625.127 52.361
0.658 0.001 0.129 0.652 0.001 0.127 0.695 2.119 642.155 635.951 62.834
0.636 0.001 0.129 0.632 0.001 0.129 0.703 2.869 645.775 610.695 66.325
0.614 0.001 0.131 0.611 0.001 0.129 0.711 2.058 645.775 610.695 66.325
0.592 0.001 0.133 0.590 0.001 0.131 0.716 2.119 642.155 607.088 80.288
0.571 0.001 0.135 0.569 0.001 0.133 0.710 2.058 631.296 617.911 55.852
0.549 0.001 0.135 0.547 0.001 0.135 0.713 2.991 633.106 608.891 75.051
0.526 0.001 0.136 0.526 0.001 0.135 0.708 1.997 642.155 617.911 76.797
0.505 0.000 0.138 0.505 0.001 0.136 0.704 1.875 634.916 607.088 69.815
0.485 0.001 0.140 0.484 0.001 0.138 0.704 2.180 625.867 612.499 57.598
0.464 0.001 0.140 0.462 0.000 0.140 0.701 2.808 634.916 617.911 73.306
0.442 0.000 0.142 0.441 0.000 0.140 0.707 1.936 643.965 616.107 75.051
0.421 0.001 0.143 0.420 0.000 0.142 0.706 2.119 638.535 621.519 66.325
0.400 0.001 0.145 0.399 0.000 0.143 0.703 2.119 642.155 617.911 62.834
0.378 0.001 0.145 0.377 0.000 0.145 0.702 2.808 636.726 630.539 71.561
0.355 0.001 0.147 0.356 0.000 0.145 0.699 2.058 636.726 630.539 71.561
0.334 0.001 0.149 0.335 0.000 0.147 0.699 2.119 634.916 610.695 55.852
0.313 0.001 0.151 0.314 0.000 0.149 0.700 2.058 633.106 619.715 61.088
0.292 0.000 0.151 0.293 0.000 0.151 0.704 2.808 636.726 623.323 57.598
0.271 -0.000 0.153 0.273 0.000 0.151 0.705 2.058 645.775 628.735 76.797
0.250 -0.000 0.154 0.253 0.000 0.153 0.703 1.997 636.726 616.107 68.070
0.231 0.000 0.156 0.235 0.000 0.154 0.706 2.119 636.726 616.107 61.088
0.213 0.001 0.156 0.218 0.000 0.156 0.709 2.625 645.775 607.088 55.852
0.197 0.000 0.158 0.203 0.000 0.156 0.710 2.058 645.775 614.303 73.306
0.182 0.000 0.160 0.188 0.000 0.158 0.705 2.180 633.106 626.931 78.542
0.171 0.001 0.162 0.175 0.000 0.160 0.705 1.997 627.676 625.127 76.797
0.160 0.001 0.162 0.163 0.000 0.162 0.701 2.869 631.296 625.127 66.325
0.149 0.000 0.163 0.153 0.000 0.162 0.698 2.119 631.296 625.127 66.325
0.138 0.000 0.165 0.143 0.000 0.163 0.696 2.058 645.775 625.127 66.325
0.130 0.001 0.167 0.135 0.000 0.165 0.701 2.058 645.775 617.911 45.380
0.123 0.000 0.167 0.128 0.000 0.167 0.708 2.808 643.965 623.323 75.051
0.116 -0.000 0.169 0.123 0.000 0.167 0.709 2.058 645.775 621.519 73.306
0.111 -0.000 0.171 0.118 0.000 0.169 0.705 2.058 642.155 617.911 69.815
0.109 0.000 0.172 0.115 0.000 0.171 0.706 2.119 625.867 601.676 50.616
0.107 -0.000 0.172 0.113 0.000 0.172 0.709 2.747 640.345 608.891 64.579
0.106 -0.001 0.174 0.111 0.000 0.172 0.705 1.997 634.916 628.735 69.815
0.105 -0.000 0.176 0.110 0.000 0.174 0.706 2.119 634.916 617.911 59.343
0.106 0.000 0.178 0.109 0.000 0.176 0.701 2.058 624.057 614.303 55.852
0.105 0.000 0.180 0.106 0.000 0.178 0.702 2.058 649.394 628.735 69.815
0.105 -0.000 0.181 0.106 0.000 0.180 0.709 2.058 640.345 608.891 68.070
0.104 -0.000 0.181 0.106 0.000 0.181 0.705 2.808 634.916 614.303 62.834
0.104 -0.000 0.183 0.107 0.000 0.181 0.706 2.058 634.916 607.088 55.852
0.104 -0.000 0.185 0.109 0.000 0.183 0.706 2.119 640.345 623.323 68.070
0.106 0.000 0.187 0.112 0.000 0.185 0.714 2.119 643.965 598.068 61.088
0.109 0.000 0.187 0.117 0.000 0.187 0.708 2.808 642.155 625.127 69.815
0.114 0.000 0.189 0.122 0.000 0.187 0.712 1.997 643.965 616.107 78.542
0.121 0.000 0.190 0.129 0.000 0.189 0.713 1.997 640.345 616.107 82.033
0.130 0.000 0.192 0.137 0.000 0.190 0.710 2.119 642.155 625.127 69.815
0.140 0.000 0.192 0.147 0.000 0.192 0.710 2.869 643.965 608.891 64.579
0.151 0.000 0.194 0.157 0.000 0.192 0.711 2.119 647.584 623.323 75.051
0.163 0.000 0.196 0.169 0.000 0.194 0.710 2.058 636.726 623.323 75.051
0.175 0.000 0.198 0.182 0.000 0.196 0.705 2.119 651.204 623.323 64.579
0.189 0.000 0.198 0.197 0.000 0.198 0.711 2.869 651.204 623.323 71.561
0.205 0.000 0.198 0.212 0.000 0.198 0.708 2.808 631.296 617.911 66.325
0.222 0.001 0.200 0.229 0.000 0.198 0.704 2.058 642.155 625.127 55.852
0.240 0.001 0.201 0.247 0.000 0.200 0.703 2.119 638.535 632.343 66.325
0.260 0.001 0.201 0.267 0.000 0.201 0.705 2.869 633.106 612.499 68.070
0.281 0.001 0.201 0.287 0.000 0.201 0.705 2.808 645.775 617.911 62.834
0.302 0.001 0.203 0.308 0.000 0.201 0.713 2.119 656.633 617.911 69.815
0.325 0.001 0.205 0.329 0.000 0.203 0.713 1.997 645.775 614.303 66.325
0.348 0.001 0.205 0.350 0.000 0.205 0.710 2.747 629.486 605.284 64.579
0.370 0.000 0.207 0.372 0.000 0.205 0.714 2.119 634.916 599.872 76.797
0.391 0.000 0.209 0.393 0.000 0.207 0.714 2.058 638.535 610.695 66.325
0.413 0.000 0.210 0.414 0.000 0.209 0.714 2.119 642.155 617.911 52.361
0.433 0.000 0.210 0.435 0.000 0.210 0.706 2.808 640.345 626.931 64.579
0.454 0.000 0.212 0.457 0.000 0.210 0.706 2.058 640.345 626.931 64.579
0.475 0.000 0.214 0.478 0.000 0.212 0.708 2.058 651.204 612.499 68.070
0.497 0.001 0.216 0.499 0.000 0.214 0.711 2.058 640.345 623.323 78.542
0.519 0.001 0.216 0.520 0.000 0.216 0.709 2.808 631.296 610.695 73.306
0.541 0.000 0.216 0.542 0.000 0.216 0.704 2.747 634.916 614.303 73.306
0.563 0.000 0.218 0.563 0.000 0.216 0.705 2.058 638.535 614.303 62.834
0.584 0.000 0.219 0.584 0.000 0.218 0.709 2.058 640.345 612.499 54.107
0.606 0.000 0.219 0.605 0.000 0.219 0.708 2.808 642.155 625.127 76.797
0.626 -0.000 0.219 0.627 0.000 0.219 0.706 2.747 633.106 612.499 68.070
0.647 -0.000 0.221 0.648 0.000 0.219 0.707 2.119 636.726 612.499 64.579
0.669 0.000 0.223 0.669 0.000 0.221 0.712 2.119 643.965 612.499 68.070
0.690 0.000 0.223 0.690 0.000 0.223 0.708 2.869 640.345 626.931 64.579
0.712 -0.000 0.225 0.712 0.000 0.223 0.704 2.058 640.345 626.931 64.579
0.733 0.000 0.227 0.733 0.000 0.225 0.708 2.058 636.726 616.107 75.051
0.755 0.001 0.229 0.754 0.000 0.227 0.705 2.058 631.296 621.519 55.852
0.776 0.001 0.229 0.775 0.000 0.229 0.710 2.869 642.155 607.088 76.797
0.797 0.000 0.230 0.797 0.000 0.229 0.715 2.119 654.824 616.107 71.561
0.818 -0.000 0.232 0.818 0.000 0.230 0.711 2.058 633.106 623.323 64.579
0.839 0.000 0.234 0.839 0.000 0.232 0.712 2.119 642.155 617.911 52.361
0.861 0.000 0.234 0.860 0.000 0.234 0.706 2.747 653.014 625.127 55.852
0.882 -0.000 0.234 0.882 0.000 0.234 0.702 2.869 620.437 617.911 66.325
0.903 -0.000 0.236 0.903 0.000 0.234 0.706 2.119 643.965 619.715 78.542
0.925 0.000 0.238 0.924 0.000 0.236 0.704 2.058 638.535 621.519 69.815
0.946 0.000 0.238 0.945 0.000 0.238 0.699 2.808 645.775 635.951 48.871
0.967 -0.000 0.238 0.967 0.000 0.238 0.697 2.686 645.775 635.951 48.871
0.988 0.000 0.240 0.988 0.000 0.238 0.701 2.119 627.676 607.088 52.361
1.010 0.001 0.241 1.009 0.000 0.240 0.698 2.119 627.676 635.951 69.815
1.031 0.001 0.241 1.030 0.000 0.241 0.696 2.869 620.437 607.088 73.306
1.052 -0.000 0.241 1.052 0.000 0.241 0.699 2.808 640.345 608.891 64.579
1.073 -0.000 0.243 1.073 0.000 0.241 0.702 2.058 633.106 612.499 75.051
1.095 0.000 0.245 1.094 0.000 0.243 0.704 2.119 633.106 619.715 61.088
1.116 0.000 0.245 1.115 0.000 0.245 0.704 2.808 638.535 614.303 76.797
1.137 -0.000 0.245 1.137 0.000 0.245 0.709 2.869 647.584 619.715 71.561
1.158 -0.000 0.247 1.158 0.000 0.245 0.708 2.058 642.155 625.127 66.325
1.179 0.000 0.249 1.179 0.000 0.247 0.706 2.119 640.345 623.323 64.579
1.201 0.000 0.249 1.200 0.000 0.249 0.705 2.747 647.584 626.931 61.088
1.222 -0.000 0.249 1.222 0.000 0.249 0.708 2.930 647.584 626.931 61.088
1.243 -0.000 0.250 1.243 0.000 0.249 0.702 2.058 645.775 628.735 59.343
1.265 0.001 0.252 1.264 0.000 0.250 0.704 2.119 627.676 617.911 59.343
1.286 0.001 0.252 1.285 0.000 0.252 0.704 2.747 640.345 623.323 68.070
1.307 0.000 0.252 1.307 0.000 0.252 0.705 2.808 634.916 621.519 69.815
1.328 -0.000 0.254 1.328 0.000 0.252 0.708 1.997 647.584 623.323 75.051
1.350 0.001 0.256 1.349 0.000 0.254 0.705 1.997 636.726 626.931 54.107
1.371 0.000 0.256 1.370 0.000 0.256 0.704 2.808 640.345 616.107 68.070
1.392 -0.000 0.256 1.392 0.000 0.256 0.707 2.808 633.106 612.499 61.088
1.413 -0.001 0.258 1.413 0.000 0.256 0.711 2.058 649.394 617.911 62.834
1.434 0.000 0.259 1.434 0.000 0.258 0.702 2.058 629.486 626.931 68.070
1.456 0.000 0.259 1.455 0.000 0.259 0.703 2.808 633.106 619.715 68.070
1.477 -0.000 0.259 1.477 0.000 0.259 0.700 2.808 633.106 619.715 68.070
1.498 -0.000 0.261 1.498 0.000 0.259 0.704 2.058 640.345 605.284 68.070
1.520 0.001 0.263 1.519 0.000 0.261 0.711 2.058 633.106 608.891 61.088
1.541 0.001 0.263 1.540 0.000 0.263 0.703 2.747 633.106 626.931 50.616
1.562 -0.000 0.263 1.560 0.000 0.263 0.710 2.930 645.775 614.303 76.797
1.582 -0.000 0.265 1.579 0.000 0.263 0.702 1.997 640.345 630.539 68.070
1.602 0.000 0.267 1.598 0.000 0.265 0.705 2.119 640.345 616.107 64.579
1.620 0.000 0.267 1.614 0.000 0.267 0.706 2.869 638.535 610.695 62.834
1.636 -0.001 0.267 1.629 0.000 0.267 0.705 2.747 629.486 612.499 78.542
1.649 -0.001 0.268 1.643 0.000 0.267 0.710 1.997 645.775 614.303 66.325
1.661 0.000 0.270 1.654 0.000 0.268 0.703 2.119 629.486 626.931 64.579
1.670 0.000 0.272 1.665 0.000 0.270 0.701 2.058 631.296 617.911 76.797
1.678 -0.000 0.272 1.673 0.000 0.272 0.701 2.808 631.296 617.911 76.797
1.686 -0.000 0.274 1.681 0.000 0.272 0.707 2.058 645.775 614.303 66.325
1.692 0.001 0.276 1.686 0.000 0.274 0.705 2.119 625.867 612.499 71.561
1.697 0.000 0.277 1.690 0.000 0.276 0.705 1.997 640.345 612.499 64.579
1.700 -0.001 0.277 1.693 0.000 0.277 0.703 2.808 624.057 617.911 76.797
1.702 -0.000 0.279 1.694 0.000 0.277 0.699 2.180 636.726 634.147 68.070
1.702 0.000 0.281 1.693 0.000 0.279 0.701 2.119 625.867 608.891 54.107
1.700 -0.000 0.283 1.691 0.000 0.281 0.702 1.997 643.965 619.715 61.088
1.696 -0.000 0.283 1.689 0.000 0.283 0.703 2.808 634.916 621.519 69.815
1.692 0.000 0.285 1.685 0.000 0.283 0.706 2.119 638.535 621.519 59.343
1.687 0.000 0.286 1.682 0.000 0.285 0.700 2.058 634.916 621.519 52.361
