index,x_est,x_ref
1,0.000,0.000
2,0.002,0.000
3,0.006,0.000
4,0.008,0.001
5,0.010,0.003
6,0.014,0.006
7,0.016,0.011
8,0.017,0.016
9,0.021,0.023
10,0.028,0.031
11,0.034,0.041
12,0.042,0.051
13,0.053,0.063
14,0.064,0.076
15,0.076,0.091
16,0.090,0.106
17,0.105,0.123
18,0.121,0.141
19,0.139,0.161
20,0.158,0.181
21,0.179,0.202
22,0.200,0.223
23,0.222,0.244
24,0.244,0.266
25,0.266,0.287
26,0.288,0.308
27,0.310,0.329
28,0.333,0.351
29,0.355,0.372
30,0.377,0.393
31,0.399,0.414
32,0.422,0.436
33,0.444,0.457
34,0.467,0.478
35,0.489,0.499
36,0.512,0.521
37,0.534,0.542
38,0.557,0.563
39,0.580,0.584
40,0.602,0.606
41,0.625,0.627
42,0.647,0.648
43,0.670,0.669
44,0.692,0.689
45,0.714,0.709
46,0.735,0.727
47,0.755,0.743
48,0.773,0.758
49,0.790,0.772
50,0.805,0.783
51,0.818,0.794
52,0.829,0.803
53,0.839,0.810
54,0.847,0.815
55,0.853,0.819
56,0.858,0.822
57,0.861,0.823
58,0.863,0.822
59,0.863,0.820
60,0.862,0.817
61,0.859,0.812
62,0.855,0.807
63,0.853,0.855
64,0.853,0.855
65,0.855,0.854
66,0.856,0.853
67,0.856,0.851
68,0.858,0.848
69,0.857,0.844
70,0.853,0.838
71,0.848,0.831
72,0.843,0.823
73,0.835,0.814
74,0.825,0.803
75,0.815,0.791
76,0.804,0.778
77,0.790,0.764
78,0.775,0.748
79,0.760,0.731
80,0.743,0.713
81,0.724,0.694
82,0.703,0.674
83,0.682,0.653
84,0.660,0.631
85,0.636,0.610
86,0.613,0.589
87,0.590,0.568
88,0.567,0.546
89,0.544,0.525
90,0.521,0.504
91,0.498,0.483
92,0.475,0.461
93,0.451,0.440
94,0.428,0.419
95,0.404,0.398
96,0.381,0.376
97,0.357,0.355
98,0.334,0.334
99,0.311,0.313
100,0.286,0.293
101,0.263,0.274
102,0.242,0.255
103,0.221,0.239
104,0.201,0.224
105,0.185,0.210
106,0.170,0.199
107,0.156,0.188
108,0.145,0.180
109,0.136,0.172
110,0.127,0.167
111,0.120,0.163
112,0.116,0.160
113,0.113,0.159
114,0.111,0.160
115,0.110,0.162
116,0.112,0.165
117,0.115,0.170
118,0.119,0.175
119,0.125,0.180
120,0.126,0.125
121,0.125,0.125
122,0.123,0.125
123,0.121,0.126
124,0.121,0.128
125,0.119,0.131
126,0.120,0.136
127,0.125,0.141
128,0.130,0.148
129,0.135,0.156
130,0.143,0.166
131,0.153,0.176
132,0.163,0.188
133,0.174,0.201
134,0.188,0.216
135,0.203,0.231
136,0.219,0.248
137,0.236,0.266
138,0.255,0.286
139,0.275,0.306
140,0.296,0.327
141,0.319,0.348
142,0.342,0.369
143,0.365,0.390
144,0.388,0.412
145,0.411,0.433
146,0.434,0.454
147,0.457,0.475
148,0.480,0.497
149,0.503,0.518
150,0.527,0.539
151,0.550,0.560
152,0.573,0.582
153,0.597,0.603
154,0.620,0.624
155,0.643,0.645
156,0.667,0.667
157,0.690,0.688
158,0.713,0.709
159,0.736,0.730
160,0.759,0.752
161,0.782,0.773
162,0.805,0.794
163,0.827,0.815
164,0.850,0.837
165,0.873,0.858
166,0.895,0.879
167,0.918,0.900
168,0.940,0.922
169,0.962,0.943
170,0.984,0.964
171,1.007,0.985
172,1.029,1.007
173,1.050,1.028
174,1.072,1.049
175,1.094,1.070
176,1.115,1.092
177,1.137,1.113
178,1.158,1.134
179,1.180,1.155
180,1.201,1.177
181,1.222,1.198
182,1.244,1.219
183,1.265,1.240
184,1.285,1.262
185,1.306,1.283
186,1.327,1.304
187,1.348,1.325
188,1.368,1.347
189,1.389,1.368
190,1.410,1.389
191,1.430,1.410
192,1.451,1.432
193,1.471,1.453
194,1.492,1.474
195,1.512,1.495
196,1.533,1.517
197,1.553,1.537
198,1.573,1.558
199,1.593,1.577
200,1.612,1.595
201,1.630,1.612
202,1.646,1.627
203,1.661,1.640
204,1.674,1.652
205,1.686,1.662
206,1.695,1.671
207,1.703,1.678
208,1.710,1.684
209,1.715,1.688
210,1.718,1.690
211,1.720,1.691
212,1.720,1.691
213,1.720,1.689
214,1.717,1.685
215,1.713,1.681
216,1.708,1.676
